C	CHEMISTRY; METALLURGY
C01G0021160000	Halides
C01G0021180000	Nitrates
C01G0021200000	Sulfates
C01G0021210000	Sulfides
C01G0021220000	Plumbates; Plumbites
C01G0023000000	Compounds of titanium
C01G0023020000	Halides of titanium
C01G0023040000	Oxides; Hydroxides
C01G0023047000	Titanium dioxide
C01G0023053000	Producing by wet processes, e.g. hydrolysing titanium salts
C01G0023070000	Producing by vapour phase processes, e.g. halide oxidation
C01G0023080000	Drying; Calcining
C01G0025000000	Compounds of zirconium
C01G0025020000	Oxides
C01G0025040000	Halides
C01G0025060000	Sulfates
C01G0027000000	Compounds of hafnium
C01G0027020000	Oxides
C01G0027040000	Halides
C01G0027060000	Sulfates
C01G0028000000	Compounds of arsenic
C01G0028020000	Arsenates; Arsenites
C01G0029000000	Compounds of bismuth
C01G0030000000	Compounds of antimony
C01G0030020000	Antimonates; Antimonites
C01G0031000000	Compounds of vanadium
C01G0031020000	Oxides
C01G0031040000	Halides
C01G0033000000	Compounds of niobium
C01G0035000000	Compounds of tantalum
C01G0035020000	Halides
C01G0037000000	Compounds of chromium
C01G0037020000	Oxides or hydrates thereof
C01G0037027000	Chromium dioxide
C01G0037033000	Chromium trioxide; Chromic acid
C01G0037040000	Chromium halides
C01G0037060000	Chromylhalides
C01G0037080000	Chromium sulfates
C01G0037100000	Chrome alum
C01G0037140000	Chromates; Bichromates
C01G0039000000	Compounds of molybdenum
C01G0039020000	Oxides; Hydroxides
C01G0039040000	Halides
C01G0039060000	Sulfides
C01G0041000000	Compounds of tungsten
C01G0041020000	Oxides; Hydroxides
C01G0041040000	Halides
C01G0043000000	Compounds of uranium
C01G0043010000	Oxides; Hydroxides
C01G0043025000	Uranium dioxide
C01G0043040000	Halides of uranium
C01G0043060000	Fluorides
C01G0043080000	Chlorides
C01G0043100000	Bromides
C01G0043120000	Iodides
C01G0045000000	Compounds of manganese
C01G0045020000	Oxides; Hydroxides
C01G0045040000	Carbonyls
C01G0045060000	Halides
C01G0045080000	Nitrates
C01G0045100000	Sulfates
C01G0045120000	Manganates; Permanganates
C01G0047000000	Compounds of rhenium
C01G0049000000	Compounds of iron
C01G0049020000	Oxides; Hydroxides
C01G0049040000	Ferrous oxide (FeO)
C01G0049060000	Ferric oxide (Fe2O3)
C01G0049080000	Ferroso-ferric oxide (Fe3O4)
C01G0049100000	Halides
C01G0049120000	Sulfides
C01G0049140000	Sulfates
C01G0049160000	Carbonyls
C01G0051000000	Compounds of cobalt
C01G0051020000	Carbonyls
C01G0051040000	Oxides; Hydroxides
C01G0051060000	Carbonates
C01G0051080000	Halides
C01G0051100000	Sulfates
C01G0051120000	Complexes with ammonia
C01G0053000000	Compounds of nickel
C01G0053020000	Carbonyls
C01G0053040000	Oxides; Hydroxides
C01G0053060000	Carbonates
C01G0053080000	Halides
C01G0053090000	Chlorides
C01G0053100000	Sulfates
C01G0053110000	Sulfides
C01G0053120000	Complexes with ammonia
C01G0055000000	Compounds of ruthenium, rhodium, palladium, osmium, iridium, or platinum
C01G0056000000	Compounds of transuranic elements
C01G0099000000	Subject matter not provided for in other groups of this subclass
C02	TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE
C02F	TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE (processes for making harmful chemical substances harmless, or less harmful, by effecting a chemical change in the substances A62D0003000000;separation, settling tanks or filter devices  B01D;special arrangements on waterborne vessels of installations for treating water, waste water or sewage, e.g. for producing fresh water, B63J;adding materials to water to prevent corrosion C23F;treating radioactively-contaminated liquids G21F0009040000)
C02F0001000000	Treatment of water, waste water, or sewage (C02F0003000000-C02F0009000000 take precedence)
C02F0001020000	by heating
C02F0001040000	by distillation or evaporation
C02F0001060000	Flash evaporation
C02F0001080000	Thin film evaporation
C02F0001100000	by direct contact with a particulate solid or with a fluid, as a heat transfer medium
C02F0001120000	Spray evaporation
C02F0001140000	using solar energy
C02F0001160000	using waste heat from other processes
C02F0001180000	Transportable devices to obtain potable water
C02F0001200000	by degassing, i.e. liberation of dissolved gases
C02F0001220000	by freezing
C02F0001240000	by flotation (C02F0001465000 takes precedence)
C02F0001260000	by extraction
C02F0001280000	by sorption (using ion-exchange C02F0001420000;sorbent compositions B01J)
C02F0001300000	by irradiation
C02F0001320000	with ultra-violet light
C02F0001340000	with mechanical oscillations
C02F0001360000	ultrasonic vibrations
C02F0001380000	by centrifugal separation
C02F0001400000	Devices for separating or removing fatty or oily substances or similar floating material (cleaning or keeping clear the surface of open water from oil or like materials E02B0015040000;devices in sewers for separating liquid or solid substances from sewage E03F0005140000)
C02F0001420000	by ion-exchange
C02F0001440000	by dialysis, osmosis or reverse osmosis
C02F0001460000	by electrochemical methods
C02F0001461000	by electrolysis
C02F0001463000	by electrocoagulation
C02F0001465000	by electroflotation
C02F0001467000	by electrochemical disinfection
C02F0001469000	by electrochemical separation, e.g. by electro-osmosis, electrodialysis, electrophoresis
C02F0001480000	with magnetic or electric fields (C02F0001460000 takes precedence)
C02F0001500000	by addition or application of a germicide or by oligodynamic treatment (C02F0001467000 takes precedence)
C02F0001520000	by flocculation or precipitation of suspended impurities
C02F0001540000	using organic material
C02F0001560000	Macromolecular compounds
C02F0001580000	by removing specified dissolved compounds (using ion-exchange C02F0001420000;softening water C02F0005000000)
C02F0001600000	Silicon compounds
C02F0001620000	Heavy metal compounds
C02F0001640000	of iron or manganese
C02F0001660000	by neutralisation; pH adjustment (for degassing C02F0001200000;using ion-exchange C02F0001420000;for flocculation or precipitation of suspended impurities C02F0001520000;for removing dissolved compounds C02F0001580000)
C02F0001680000	by addition of specified substances, e.g. trace elements, for ameliorating potable water
C02F0001700000	by reduction
C02F0001720000	by oxidation
C02F0001740000	with air (aeration of stretches of water C02F0007000000)
C02F0001760000	with halogens or compounds of halogens
C02F0001780000	with ozone
C02F0003000000	Biological treatment of water, waste water, or sewage
C02F0003020000	Aerobic processes
C02F0003040000	using trickle filters
C02F0003060000	using submerged filters
C02F0003080000	using moving contact bodies
C02F0003100000	Packings; Fillings; Grids
C02F0003120000	Activated sludge processes
C02F0003140000	using surface aeration
C02F0003160000	the aerator having a vertical axis
C02F0003180000	the aerator having a horizontal axis
C02F0003200000	using diffusers
C02F0003220000	using circulation pipes
C02F0003240000	using free-fall aeration or spraying
C02F0003260000	using pure oxygen or oxygen-rich gas
C02F0003280000	Anaerobic digestion processes
C02F0003300000	Aerobic and anaerobic processes
C02F0003320000	characterised by the animals or plants used, e.g. algae
C02F0003340000	characterised by the microorganisms used
C02F0005000000	Softening water; Preventing scale; Adding scale preventatives or scale removers to water, e.g. adding sequestering agents (softening using ion-exchange C02F0001420000)
C02F0005020000	Softening water by precipitation of the hardness
C02F0005040000	using phosphates (C02F0005060000 takes precedence)
C02F0005060000	using calcium compounds
C02F0005080000	Treatment of water with complexing chemicals or other solubilising agents for softening, scale prevention or scale removal, e.g. adding sequestering agents
C02F0005100000	using organic substances
C02F0005120000	containing nitrogen (C02F0005140000 takes precedence)
C02F0005140000	containing phosphorus
C02F0007000000	Aeration of stretches of water
C02F0009000000	Multistep treatment of water, waste water or sewage
C02F0009020000	involving a separation step
C02F0009040000	at least one step being a chemical treatment
C02F0009060000	Electrochemical treatment
C02F0009080000	at least one step being a physical treatment
C02F0009100000	Thermal treatment
C02F0009120000	Irradiation or treatment with electric or magnetic fields
C02F0009140000	at least one step being a biological treatment
C02F0011000000	Treatment of sludge; Devices therefor
C02F0011020000	Biological treatment
C02F0011040000	Anaerobic treatment; Production of methane by such processes
C02F0011060000	by oxidation
C02F0011080000	Wet air oxidation
C02F0011100000	by pyrolysis
C02F0011120000	by de-watering, drying, or thickening
C02F0011140000	with addition of chemical agents
C02F0011160000	using drying or composting beds
C02F0011180000	by thermal conditioning (by pyrolysis C02F0011100000)
C02F0011200000	by freezing
C02F0101000000	Indexing scheme associated with groups C02F0001000000-C02F0011000000 relating to the nature of the contaminant in the water, waste water, sewage or sludge.
C02F0101000000	Nature of the contaminant
C02F0101100000	Inorganic compounds
C02F0101120000	Halogens or halogen-containing compounds
C02F0101140000	Fluorine or fluorine-containing compounds
C02F0101160000	Nitrogen compounds, e.g. ammonia
C02F0101180000	Cyanides
C02F0101200000	Heavy metals or heavy metal compounds
C02F0101220000	Chromium or chromium compounds, e.g. chromates
C02F0101300000	Organic compounds
C02F0101320000	Hydrocarbons, e.g. oil
C02F0101340000	containing oxygen
C02F0101360000	containing halogen
C02F0101380000	containing nitrogen
C02F0103000000	Indexing scheme associated with groups C02F0001000000-C02F0011000000, relating to the nature of the water, waste water, sewage or sludge to be treated.
C02F0103000000	Nature of the water, waste water, sewage or sludge to be treated
C02F0103020000	Non-contaminated water, e.g. for industrial water supply
C02F0103040000	for obtaining pure or ultra-pure water
C02F0103060000	Contaminated groundwater or leachate
C02F0103080000	Seawater, e.g. for desalination
C02F0103100000	from quarries or from mining activities
C02F0103120000	from the silicate or ceramic industries, e.g. waste waters from cement or glass factories
C02F0103140000	Paint wastes
C02F0103160000	from metallurgical processes, i.e. from the production, refining or treatment of metals, e.g. galvanic wastes
C02F0103180000	from the wet purification of gaseous effluents
C02F0103200000	from animal husbandry
C02F0103220000	from the processing of animals, e.g. poultry, fish, or parts thereof
C02F0103240000	from tanneries
C02F0103260000	from the processing of plants or parts thereof
C02F0103280000	from the paper or cellulose industry
C02F0103300000	from the textile industry
C02F0103320000	from the food or foodstuff industry, e.g. brewery waste waters
C02F0103340000	from the chemical industry not provided for in groups C02F0103120000-C02F0103320000
C02F0103360000	from the manufacture of organic compounds
C02F0103380000	Polymers
C02F0103400000	from the manufacture or use of photosensitive materials
C02F0103420000	from bathing facilities, e.g. swimming pools
C02F0103440000	from vehicle washing facilities
C03	GLASS; MINERAL OR SLAG WOOL
C03B	MANUFACTURE OR SHAPING OF GLASS, OR OF MINERAL OR SLAG WOOL; SUPPLEMENTARY PROCESSES IN THE MANUFACTURE OR SHAPING OF GLASS, OR OF MINERAL OR SLAG WOOL (surface treatment C03C)
C03B0001000000	Melting the raw material
C03B0001000000	Preparing the batches
C03B0001020000	Compacting the glass batches, e.g. pelletising
C03B0003000000	Charging the melting furnaces
C03B0003020000	combined with preheating, premelting or pretreating the glass-making ingredients, pellets or cullet
C03B0005000000	Melting in furnaces; Furnaces so far as specially adapted for glass manufacture
C03B0005020000	in electric furnaces
C03B0005027000	by passing an electric current between electrodes immersed in the glass bath, i.e. by direct resistance heating
C03B0005030000	Tank furnaces
C03B0005033000	by using resistance heaters above or in the glass bath, i.e. by indirect resistance heating
C03B0005040000	in tank furnaces
C03B0005050000	Discontinuously-working tank furnaces, e.g. day tanks
C03B0005060000	in pot furnaces
C03B0005080000	Glass-melting pots
C03B0005100000	in combined tank furnaces and pots
C03B0005120000	in shaft furnaces
C03B0005140000	in revolving cylindrical furnaces
C03B0005160000	Special features of the melting process; Auxiliary means specially adapted for glass-melting furnaces
C03B0005167000	Means for preventing damage to equipment, e.g. by molten glass, hot gases, batches (C03B0005200000, C03B0005420000 take precedence)
C03B0005173000	Apparatus for changing the composition of the molten glass in glass furnaces, e.g. for colouring the molten glass (chemical aspects C03C)
C03B0005180000	Stirring devices; Homogenisation
C03B0005182000	by moving the molten glass along fixed elements, e.g. deflectors, weirs, baffle plates
C03B0005183000	using thermal means, e.g. for creating convection currents
C03B0005185000	Electric means
C03B0005187000	with moving elements
C03B0005193000	using gas, e.g. bubblers
C03B0005200000	Bridges, shoes, throats, or other devices for withholding dirt, foam, or batch
C03B0005225000	Refining (C03B0005180000 takes precedence)
C03B0005230000	Cooling the molten glass (C03B0005180000, C03B0005225000 take precedence)
C03B0005235000	Heating the glass (C03B0005020000, C03B0005180000, C03B0005225000 take precedence)
C03B0005237000	Regenerators or recuperators specially adapted for glass-melting furnaces
C03B0005240000	Automatically regulating the melting process
C03B0005260000	Outlets; Overflows
C03B0005280000	Siphons
C03B0005420000	Details of construction of furnace walls, e.g. to prevent corrosion; Use of materials for furnace walls
C03B0005425000	Preventing corrosion or erosion (C03B0005440000 takes precedence)
C03B0005430000	Use of materials for furnace walls, e.g. fire-bricks
C03B0005435000	Heating arrangements for furnace walls
C03B0005440000	Cooling arrangements for furnace walls
C03B0007000000	Distributors for the molten glass; Means for taking-off charges of molten glass; Producing the gob
C03B0007010000	Means for taking-off charges of molten glass
C03B0007020000	Forehearths, i.e. feeder channels
C03B0007040000	Revolving forehearths
C03B0007060000	Means for thermal conditioning or controlling the temperature of the glass
C03B0007070000	Electric means
C03B0007080000	Feeder spouts, e.g. gob feeders
C03B0007082000	Pneumatic feeders
C03B0007084000	Tube mechanisms
C03B0007086000	Plunger mechanisms
C03B0007088000	Outlets, e.g. orifice rings
C03B0007090000	Spout blocks
C03B0007092000	Stirring devices; Homogenisation (C03B0005180000 takes precedence)
C03B0007094000	Means for heating, cooling or insulation
C03B0007096000	for heating
C03B0007098000	electric
C03B0007100000	Cutting-off the glass flow with the aid of knives or scissors; Construction of the blades used
C03B0007110000	Construction of the blades
C03B0007120000	Cutting-off a free-hanging glass stream
C03B0007140000	Transferring molten glass or gobs to glass blowing or pressing machines (C03B0007180000-C03B0007220000 take precedence)
C03B0007160000	using deflector chutes
C03B0007180000	Suction feeders
C03B0007200000	Scoop feeders
C03B0007220000	Gathering-devices in the form of rods or pipes
C03B0008000000	Production of glass by other processes than melting processes (C03B0037014000 takes precedence;preparation of finely divided silica, in general C01B0033180000)
C03B0008020000	by liquid phase reaction processes
C03B0008040000	by gas phase reaction processes
C03B0009000000	Shaping of glass
C03B0009000000	Blowing glass; Production of hollow glass articles
C03B0009020000	with the mouth; Auxiliary means therefor
C03B0009030000	Blow pipes
C03B0009040000	Making hollow glass articles with feet or projections
C03B0009060000	Making hollow glass articles with double walls, e.g. vacuum flasks
C03B0009080000	Finish-blowing with compressed air of blanks blown with the mouth
C03B0009100000	Blowing glass cylinders for sheet manufacture
C03B0009120000	starting from a ribbon of glass; Ribbon machines
C03B0009130000	in gob feeder machines (C03B0009280000, C03B0009290000 take precedence)
C03B0009140000	in "blow" machines or in "blow-and-blow" machines (C03B0009193000, C03B0009200000 take precedence)
C03B0009160000	in machines with turn-over moulds
C03B0009180000	Rotary-table machines
C03B0009190000	having only one rotary table
C03B0009193000	in "press-and-blow" machines
C03B0009195000	Rotary-table machines
C03B0009197000	Construction of the blank mould
C03B0009200000	in "vacuum blowing" or in "vacuum-and-blow" machines
C03B0009220000	Rotary table machines
C03B0009240000	Construction of the blank mould
C03B0009280000	in machines of the endless-chain type (C03B0009120000 takes precedence)
C03B0009290000	Paste mould machines (C03B0009280000 takes precedence)
C03B0009295000	Rotary table machines
C03B0009300000	Details of blowing glass (for blowing with the mouth C03B0009020000); Use of materials for the moulds
C03B0009310000	Blowing laminated glass articles or glass with enclosures, e.g. wires, bubbles
C03B0009320000	Giving special shapes to parts of hollow glass articles
C03B0009325000	Forming screw threads or lips at the mouth of hollow glass articles; Neck moulds
C03B0009330000	Making hollow glass articles with feet or projections; Moulds therefor
C03B0009335000	Forming bottoms to blown hollow glass articles; Bottom moulds
C03B0009340000	Glass-blowing moulds not otherwise provided for
C03B0009347000	Construction of the blank or blow mould
C03B0009353000	Mould holders
C03B0009360000	Blow heads; Supplying, ejecting, or controlling the air
C03B0009380000	Means for cooling, heating, or insulating glass-blowing machines
C03B0009400000	Gearing or controlling mechanisms specially adapted for glass-blowing machines
C03B0009410000	Electric or electronic systems
C03B0009420000	Means for fusing, burning-off, or edge-melting combined with glass-blowing machines (uniting glass pieces by fusing C03B0023200000)
C03B0009440000	Means for discharging combined with glass-blowing machines, e.g. take-outs
C03B0009447000	Means for the removal of glass articles from the blow-mould, e.g. take-outs
C03B0009453000	Means for pushing newly formed glass articles onto a conveyor, e.g. sweep-out mechanisms; Dead-plate mechanisms
C03B0009460000	Means for cutting the hot glass in glass-blowing machines (burning-off C03B0009420000)
C03B0009480000	Use of materials for the moulds
C03B0011000000	Pressing glass
C03B0011020000	in machines with rotary tables
C03B0011040000	in machines with moulds fed by suction
C03B0011050000	in machines with reciprocating moulds
C03B0011060000	Construction of plunger or mould
C03B0011070000	Suction moulds
C03B0011080000	for making solid articles, e.g. lenses
C03B0011100000	for making hollow articles
C03B0011120000	Cooling, heating, or insulating the plunger, the mould, or the glass-pressing machine (C03B0009380000 takes precedence)
C03B0011140000	with metal inserts
C03B0011160000	Gearing or controlling mechanisms specially adapted for glass presses
C03B0013000000	Rolling glass
C03B0013010000	Rolling profiled glass articles
C03B0013020000	Rolling non-patterned sheets discontinuously
C03B0013040000	Rolling non-patterned sheets continuously
C03B0013060000	Rolling corrugated sheets
C03B0013080000	Rolling patterned sheets
C03B0013100000	Rolling multi-layer sheets
C03B0013120000	Rolling glass with enclosures, e.g. wire or asbestos
C03B0013140000	Rolling other articles
C03B0013160000	Construction of the glass rollers
C03B0013180000	Auxiliary means for rolling glass, e.g. sheet supports, gripping devices, hand-ladles, means for moving glass pots
C03B0015000000	Drawing glass upwardly from the melt
C03B0015020000	Drawing glass sheets
C03B0015040000	from the free surface of the melt
C03B0015060000	from a debiteuse
C03B0015080000	by means of bars below the surface of the melt
C03B0015100000	multi-layer glass sheets or glass sheets coated with coloured layers
C03B0015120000	Construction of the annealing tower
C03B0015140000	Drawing tubes, cylinders, or rods from the melt
C03B0015160000	Drawing tubes, cylinders, or rods, coated with coloured layers
C03B0015180000	Means for laying-down and conveying combined with the drawing of glass sheets, tubes, or rods
C03B0017000000	Forming glass by flowing out, pushing-out, or drawing downwardly or laterally from forming slits or by overflowing over lips
C03B0017020000	Forming glass coated with coloured layers
C03B0017040000	Forming tubes or rods by drawing from stationary or rotating tools or from forming nozzles
C03B0017060000	Forming glass sheets
C03B0018000000	Shaping glass in contact with the surface of a liquid
C03B0018020000	Forming sheets
C03B0018040000	Changing or regulating the dimensions of the molten glass ribbon
C03B0018060000	using mechanical means, e.g. restrictor bars, edge rollers
C03B0018080000	using gas
C03B0018100000	using electric means
C03B0018120000	Making multilayer, coloured or armoured glass (chemical aspects C03C)
C03B0018140000	Changing the surface of the glass ribbon, e.g. roughening (by chemical methods C03C)
C03B0018160000	Construction of the float tank; Use of material for the float tank; Coating or protection of the tank wall
C03B0018180000	Controlling or regulating the temperature of the float bath; Composition or purification of the float bath
C03B0018200000	Composition of the atmosphere above the float bath; Treating or purifying the atmosphere above the float bath
C03B0018220000	Controlling or regulating the temperature of the atmosphere above the float tank
C03B0019000000	Other methods of shaping glass (manufacture or treatment of flakes, fibres, or filaments from softened glass, minerals, or slags C03B0037000000)
C03B0019010000	by progressive fusion of powdered glass onto a shaping substrate, i.e. accretion
C03B0019020000	by casting
C03B0019040000	by centrifuging
C03B0019060000	by sintering (production of quartz or fused silica articles C03B0020000000)
C03B0019080000	by foaming
C03B0019090000	by fusing powdered glass in a shaping mould
C03B0019100000	Forming beads
C03B0019120000	by liquid-phase reaction processes
C03B0019140000	by gas-phase reaction processes
C03B0020000000	Processes specially adapted for the production of quartz or fused silica articles
C03B0021000000	Severing glass sheets, tubes, or rods while still plastic
C03B0021020000	by cutting (C03B0009460000 takes precedence)
C03B0021040000	by punching out
C03B0021060000	by flashing-off, burning-off, or fusing (C03B0009420000 takes precedence)
C03B0023000000	Re-forming shaped glass (re-forming fibres or filaments C03B0037140000)
C03B0023020000	Re-forming glass sheets
C03B0023023000	by bending
C03B0023025000	by gravity
C03B0023027000	with moulds having at least two upward pivotable mould sections
C03B0023030000	by press-bending between shaping moulds
C03B0023031000	the glass sheets being in a vertical position (C03B0023033000 takes precedence)
C03B0023033000	in a continuous way, e.g. roll forming
C03B0023035000	using a gas cushion or by changing gas pressure, e.g. by applying vacuum
C03B0023037000	by drawing
C03B0023040000	Re-forming tubes or rods
C03B0023043000	Heating devices specially adapted for re-forming tubes or rods in general, e.g. burners
C03B0023045000	Tools or apparatus specially adapted for re-forming tubes or rods in general, e.g. glass lathes, chucks (C03B0023043000 takes precedence)
C03B0023047000	by drawing (C03B0037025000 takes precedence)
C03B0023049000	by pressing (C03B0021040000, C03B0023260000 take precedence)
C03B0023051000	by gravity, e.g. sagging
C03B0023053000	by centrifuging (C03B0037040000 takes precedence)
C03B0023055000	by rolling
C03B0023057000	by fusing, e.g. for flame sealing (C03B0009420000, C03B0021060000, C03B0033080000 take precedence)
C03B0023060000	by bending
C03B0023070000	by blowing, e.g. for making electric bulbs
C03B0023080000	to exact dimensions, e.g. calibrating
C03B0023090000	Reshaping the ends, e.g. as grooves, threads or mouths
C03B0023110000	Reshaping by drawing without blowing, in combination with separating, e.g. for making ampoules
C03B0023130000	Reshaping combined with uniting or heat sealing, e.g. making vacuum bottles
C03B0023180000	Re-forming and sealing ampoules
C03B0023200000	Uniting glass pieces by fusing without substantial reshaping
C03B0023203000	Uniting glass sheets (C03B0023240000 takes precedence)
C03B0023207000	Uniting glass rods, glass tubes, or hollow glassware (C03B0023240000 takes precedence)
C03B0023213000	Joining projections or feet
C03B0023217000	for the production of cathode ray tubes or similarly shaped tubes
C03B0023220000	Uniting glass lenses, e.g. forming bifocal lenses
C03B0023240000	Making hollow glass sheets or bricks
C03B0023260000	Punching reheated glass
C03B0025000000	After-treatment of glass product
C03B0025000000	Annealing glass products (after-treatment of fibres C03B0037100000)
C03B0025020000	in a discontinuous way
C03B0025040000	in a continuous way
C03B0025060000	with horizontal displacement of the glass products
C03B0025080000	of glass sheets
C03B0025087000	being in a vertical position
C03B0025093000	being in a horizontal position on a fluid support, e.g. a gas or molten metal
C03B0025100000	with vertical displacement of the glass products
C03B0025120000	of glass sheets
C03B0027000000	Tempering glass products (after-treatment of fibres C03B0037100000)
C03B0027004000	by bringing the hot glass product in contact with a solid cooling surface, e.g. sand grains
C03B0027008000	by using heat of sublimation of solid particles
C03B0027012000	by heat treatment, e.g. for crystallisation; Heat treatment of glass products before tempering by cooling (C03B0027008000, C03B0027016000 take precedence)
C03B0027016000	by absorbing heat radiated from the glass product
C03B0027020000	using liquid
C03B0027030000	the liquid being a molten metal or a molten salt
C03B0027040000	using gas
C03B0027044000	for flat or bent glass sheets being in a horizontal position
C03B0027048000	on a gas cushion
C03B0027052000	for flat or bent glass sheets being in a vertical position
C03B0027056000	supported on the lower edge
C03B0027060000	for glass products other than flat or bent glass plates, e.g. hollow glassware, lenses
C03B0029000000	Reheating glass products for softening or fusing their surfaces; Fire-polishing; Fusing of margins (after-treatment of fibres C03B0037100000)
C03B0029020000	in a discontinuous way
C03B0029040000	in a continuous way
C03B0029060000	with horizontal displacement of the products
C03B0029080000	Glass sheets
C03B0029100000	being in a vertical position
C03B0029120000	being in a horizontal position on a fluid support, e.g. a gas or molten metal
C03B0029140000	with vertical displacement of the products
C03B0029160000	Glass sheets
C03B0031000000	Manufacture of rippled or crackled glass
C03B0032000000	Thermal after-treatment of glass products not provided for in groups C03B0025000000-C03B0031000000, e.g. crystallisation, eliminating gas inclusions or other impurities (after-treatment of fibres C03B0037100000)
C03B0032020000	Thermal crystallisation, e.g. for crystallising glass bodies into glass-ceramic articles
C03B0033000000	Severing cooled glass (severing glass fibres C03B0037160000)
C03B0033020000	Cutting or splitting sheet glass; Apparatus or machines therefor (C03B0033090000 takes precedence;glass-cutting tools C03B0033100000)
C03B0033023000	the sheet being in a horizontal position
C03B0033027000	Scoring tool holders; Driving mechanisms therefor
C03B0033030000	Glass cutting tables; Apparatus for transporting or handling sheet glass during the cutting or breaking operations
C03B0033033000	Apparatus for opening score lines in glass sheets
C03B0033037000	Controlling or regulating
C03B0033040000	Cutting or splitting in curves, especially for making spectacle lenses
C03B0033060000	Cutting or splitting glass tubes, rods, or hollow products (C03B0033090000 takes precedence)
C03B0033070000	Cutting armoured or laminated glass products
C03B0033080000	by fusing
C03B0033085000	Tubes, rods or hollow products
C03B0033090000	by thermal shock
C03B0033095000	Tubes, rods or hollow products
C03B0033100000	Glass-cutting tools, e.g. scoring tools
C03B0033120000	Hand tools
C03B0033140000	specially adapted for cutting tubes, rods or hollow products
C03B0035000000	Transporting of glass products during their manufacture
C03B0035040000	Transporting of hot hollow glass products (C03B0035260000 takes precedence)
C03B0035060000	Feeding of hot hollow glass products into annealing or heating kilns
C03B0035080000	using rotary means directly acting on the products
C03B0035100000	using reciprocating means directly acting on the products, e.g. pushers, stackers
C03B0035120000	by picking-up and depositing
C03B0035140000	Transporting hot glass sheets
C03B0035160000	by roller conveyors
C03B0035180000	Construction of the conveyor rollers
C03B0035200000	by gripping tongs or supporting frames
C03B0035220000	on a fluid support bed, e.g. on molten metal
C03B0035240000	on a gas support bed
C03B0035260000	Transporting of glass tubes or rods
C03B0037000000	Manufacture or treatment of flakes, fibres, or filaments from softened glass, minerals, or slags
C03B0037005000	Manufacture of flakes
C03B0037010000	Manufacture of glass fibres or filaments
C03B0037012000	Manufacture of preforms for drawing fibres or filaments
C03B0037014000	made entirely or partially by chemical means
C03B0037016000	by a liquid phase reaction process, e.g. through a gel phase
C03B0037018000	by glass deposition on a glass substrate, e.g. by chemical vapour deposition (C03B0037016000 takes precedence;surface treatment of glass by coating with glass C03C0017020000)
C03B0037020000	by drawing or extruding (C03B0037040000 takes precedence)
C03B0037022000	from molten glass in which the resultant product consists of different sorts of glass or is characterised by shape, e.g. hollow fibres
C03B0037023000	Fibres composed of different sorts of glass, e.g. fibre optics
C03B0037025000	from reheated softened tubes, rods, fibres or filaments
C03B0037026000	Drawing fibres reinforced with a metal wire
C03B0037027000	Fibres composed of different sorts of glass, e.g. fibre optics (C03B0037028000 takes precedence)
C03B0037028000	Drawing fibre bundles, e.g. for making fibre bundles of multifibres
C03B0037029000	Furnaces therefor
C03B0037030000	Drawing means, e.g. drawing drums
C03B0037035000	having means for deflecting or stripping-off fibres
C03B0037040000	by using centrifugal force
C03B0037050000	by projecting on a rotating body having no radial orifices
C03B0037060000	by blasting or blowing molten glass, e.g. for making staple fibres
C03B0037065000	starting from tubes, rods, fibres, or filaments
C03B0037070000	Controlling or regulating
C03B0037075000	Manufacture of fibres or filaments consisting of different sorts of glass or characterised by shape, e.g. hollow fibres, undulated fibres (C03B0037022000, C03B0037027000, C03B0037028000 take precedence)
C03B0037080000	Bushings; Spinnerettes; Nozzles; Nozzle plates
C03B0037081000	Indirect-melting bushings
C03B0037083000	Nozzles; Bushing nozzle plates (C03B0037095000 takes precedence)
C03B0037085000	Feeding devices therefor
C03B0037090000	electrically heated
C03B0037092000	Direct-resistance heating
C03B0037095000	Use of materials therefor
C03B0037100000	Non-chemical treatment (C03C0025000000 takes precedence)
C03B0037120000	of fibres or filaments during winding up
C03B0037140000	Re-forming fibres or filaments (C03B0037025000 takes precedence)
C03B0037150000	with heat application, e.g. for making optical fibres (fusion-splicing of light guides G02B0006255000;treatment of light guides to shape optical elements G02B0006287000)
C03B0037160000	Cutting or severing (light guides G02B0006250000)
C03B0040000000	Preventing adhesion between glass and glass or between glass and the means used to shape it
C03B0040020000	by lubrication; Use of materials as release or lubricating compositions
C03B0040027000	Apparatus for applying lubricants to glass shaping moulds or tools
C03B0040033000	Means for preventing adhesion between glass and glass
C03B0040040000	using gas
C03C	CHEMICAL COMPOSITION OF GLASSES, GLAZES, OR VITREOUS ENAMELS; SURFACE TREATMENT OF GLASS; SURFACE TREATMENT OF FIBRES OR FILAMENTS FROM GLASS, MINERALS OR SLAGS; JOINING GLASS TO GLASS OR OTHER MATERIALS
C03C0001000000	Chemical composition of glasses, glazes, or vitreous enamels
C03C0001000000	Ingredients generally applicable to manufacture of glasses, glazes or vitreous enamels
C03C0001020000	Pretreated ingredients
C03C0001040000	Opacifiers, e.g. fluorides or phosphates; Pigments
C03C0001060000	to produce non-uniformly pigmented, e.g. speckled, marbled, or veined products
C03C0001080000	to produce crackled effects
C03C0001100000	to produce uniformly-coloured transparent products
