B	PERFORMING OPERATIONS; TRANSPORTING
B02C0023200000	after crushing or disintegrating
B02C0023220000	with recirculation of material to crushing or disintegrating zone
B02C0023240000	Passing gas through crushing or disintegrating zone (B02C0023380000, B02C0023400000 take precedence)
B02C0023260000	characterised by point of gas entry or exit or by gas flow path
B02C0023280000	gas moving means being integral with, or attached to, crushing or disintegrating element
B02C0023300000	the applied gas acting to effect material separation (B02C0023340000 takes precedence)
B02C0023320000	with return of oversize material to crushing or disintegrating zone (B02C0023340000 takes precedence)
B02C0023340000	gas being recirculated to crushing or disintegrating zone
B02C0023360000	the crushing or disintegrating zone being submerged in liquid
B02C0023380000	in apparatus having multiple crushing or disintegrating zones
B02C0023400000	with more than one means for adding fluid to the material being crushed or disintegrated
B02C0025000000	Control arrangements specially adapted for crushing or disintegrating
B03	SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS; MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS
B03B	SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS (removing fluids from solids B01D;magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high voltage electric fields B03C;flotation, differential sedimentation B03D;separating by dry methods B07;screening or sifting B07B;by picking B07C;separating peculiar to particular materials and provided for in other single classes, see the relevant classes)
B03B0001000000	Conditioning for facilitating separation by altering physical properties of the matter to be treated (pretreatment of ores in general C22B)
B03B0001020000	Preparatory heating
B03B0001040000	by additives
B03B0001060000	by varying ambient atmospheric pressure
B03B0004000000	Separating by pneumatic tables or by pneumatic jigs (sink-float separation using dry heavy media B03B0005460000)
B03B0004020000	using swinging or shaking tables
B03B0004040000	using rotary tables or tables formed by travelling belts (separating solids from solids using gas currents and revolving drums B07B0004060000)
B03B0004060000	using fixed and inclined tables
B03B0005000000	Washing granular, powdered or lumpy materials; Wet separating (separating by pneumatic tables or by pneumatic jigs B03B0004000000)
B03B0005020000	using shaken, pulsated or stirred beds as the principal means of separation (B03B0005280000, B03B0005480000 take precedence)
B03B0005040000	on shaking tables (on vanners B03B0005080000)
B03B0005060000	Constructional details of shaking tables, e.g. riffling
B03B0005080000	on vanners
B03B0005100000	on jigs
B03B0005120000	using pulses generated mechanically in fluid
B03B0005140000	Plunger jigs
B03B0005160000	Diaphragm jigs
B03B0005180000	Moving-sieve jigs
B03B0005200000	using pulses generated by air injection
B03B0005220000	using pulses generated by liquid injection
B03B0005240000	Constructional details of jigs, e.g. pulse control devices
B03B0005260000	in sluices
B03B0005280000	by sink-float separation
B03B0005300000	using heavy liquids or suspensions
B03B0005320000	using centrifugal force (centrifuges B04B;cyclones B04C)
B03B0005340000	Applications of hydrocyclones
B03B0005360000	Devices therefor, other than using centrifugal force (jigs B03B0005100000)
B03B0005380000	of conical receptacle type
B03B0005400000	of trough type
B03B0005420000	of drum or lifting wheel type
B03B0005440000	Application of particular media therefor
B03B0005460000	using dry heavy media; Devices therefor
B03B0005480000	by mechanical classifiers (sink-float separation aspects B03B0005280000)
B03B0005500000	Rake classifiers
B03B0005520000	Spiral classifiers
B03B0005540000	Drag classifiers
B03B0005560000	Drum classifiers
B03B0005580000	Bowl classifiers
B03B0005600000	by non-mechanical classifiers, e.g. slime tanks (using shaken, pulsated or stirred beds as the principal means of separation B03B0005020000;hydraulic classifiers B03B0005620000;water impulse classifiers B03B0005680000)
B03B0005620000	by hydraulic classifiers, e.g. of launder, tank, spiral or helical chute concentrator type
B03B0005640000	of the free settling type
B03B0005660000	of the hindered settling type
B03B0005680000	by water impulse (shaking tables B03B0005040000;jigs B03B0005100000;hydraulic classifiers B03B0005620000)
B03B0005700000	on tables or strakes
B03B0005720000	which are movable
B03B0005740000	Revolving tables
B03B0007000000	Combinations of wet processes or apparatus with other processes or apparatus, e.g. for dressing ores or garbage
B03B0009000000	General arrangement of separating plant, e.g. flow sheets
B03B0009020000	specially adapted for oil-sand, oil-chalk, oil-shales, ozokerite, bitumen, or the like
B03B0009040000	specially adapted for furnace residues, smeltings, or foundry slags
B03B0009060000	specially adapted for refuse
B03B0011000000	Feed or discharge devices integral with washing or wet-separating equipment (filling or emptying devices per seB65G0065300000)
B03B0013000000	Control arrangements specially adapted for wet- separating apparatus or for dressing plant, using physical effects (detecting, measuring, or analysing devices G01)
B03B0013020000	using optical effects
B03B0013040000	using electrical or electromagnetic effects
B03B0013060000	using absorption or reflection of radioactive emanation
B03C	MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS (filters making use of electricity or magnetism B01D0035060000;separating isotopes B01D0059000000;combinations of magnetic or electrostatic separation with separation of solids by other means B03B, B07B;separating sheets from piles B65H0003000000;magnets or magnet coils per seH01F)
B03C0001000000	Magnetic separation
B03C0001005000	Pretreatment specially adapted for magnetic separation
B03C0001010000	by addition of magnetic adjuvants
B03C0001015000	by chemical treatment imparting magnetic properties to the material to be separated, e.g. roasting, reduction, oxidation
B03C0001020000	acting directly on the substance being separated
B03C0001021000	Separation using Meissner effect, i.e. deflection of superconductive particles in a magnetic field
B03C0001023000	Separation using Lorentz force, i.e. deflection of electrically charged particles in a magnetic field
B03C0001025000	High gradient magnetic separators
B03C0001027000	with reciprocating canisters
B03C0001029000	with circulating matrix or matrix elements (matrix elements B03C0001034000)
B03C0001030000	rotating, e.g. of the carousel type
B03C0001031000	Component parts; Auxiliary operations
B03C0001032000	Matrix cleaning systems
B03C0001033000	characterised by the magnetic circuit
B03C0001034000	characterised by the matrix elements
B03C0001035000	Open gradient magnetic separators, i.e. separators in which the gap is unobstructed, characterised by the configuration of the gap
B03C0001035500	using superconductive coils
B03C0001040000	with the material carriers in the form of trays or with tables
B03C0001060000	with magnets moving during operation
B03C0001080000	with non-movable magnets
B03C0001100000	with cylindrical material carriers (B03C0001247000 takes precedence)
B03C0001120000	with magnets moving during operation; with movable pole pieces
B03C0001140000	with non-movable magnets
B03C0001160000	with material carriers in the form of belts
B03C0001180000	with magnets moving during operation
B03C0001200000	in the form of belts, e.g. cross-belt type
B03C0001220000	with non-movable magnets
B03C0001230000	with material carried by oscillating fields; with material carried by travelling fields, e.g. generated by stationary magnetic coils; Eddy-current separators, e.g. sliding ramp
B03C0001240000	with material carried by travelling fields
B03C0001247000	obtained by a rotating magnetic drum
B03C0001253000	obtained by a linear motor
B03C0001260000	with free falling material (B03C0001035000 takes precedence)
B03C0001280000	Magnetic plugs and dipsticks
B03C0001300000	Combinations with other devices, not otherwise provided for
B03C0001320000	acting on the medium containing the substance being separated, e.g. magneto-gravimetric-, magnetohydrostatic-, or magnetohydrodynamic separation
B03C0003000000	Separating dispersed particles from gases or vapour, e.g. air, by electrostatic effect (exhaust or silencing apparatus for machines or engines having means for removing solid constituents of exhaust, using electric or electrostatic separators F01N0003010000)
B03C0003010000	Pretreatment of the gases prior to electrostatic precipitation
B03C0003011000	Prefiltering; Flow controlling
B03C0003013000	Conditioning by chemical additives, e.g. with SO3
B03C0003014000	Addition of water; Heat exchange, e.g. by condensation
B03C0003016000	by acoustic or electromagnetic energy, e.g. ultra-violet light
B03C0003017000	Combinations of electrostatic separation with other processes, not otherwise provided for
B03C0003019000	Post-treatment of gases
B03C0003020000	Plant or installations having external electricity supply (electrode constructions B03C0003400000)
B03C0003040000	dry type
B03C0003060000	characterised by presence of stationary tube electrodes
B03C0003080000	characterised by presence of stationary flat electrodes arranged with their flat surfaces parallel to the gas stream
B03C0003090000	characterised by presence of stationary flat electrodes arranged with their flat surfaces at right angles to the gas stream
B03C0003100000	characterised by presence of electrodes moving during separating action
B03C0003120000	characterised by separation of ionising and collecting stations
B03C0003140000	characterised by the additional use of mechanical effects, e.g. gravity (B03C0003320000 takes precedence)
B03C0003145000	Inertia
B03C0003150000	Centrifugal forces
B03C0003155000	Filtration
B03C0003160000	wet type
B03C0003280000	Plant or installations without electricity supply, e.g. using electrets
B03C0003300000	in which electrostatic charge is generated by passage of the gases, i.e. tribo-electricity
B03C0003320000	Transportable units, e.g. for cleaning room air (room air-conditioners having an electrostatic separating stage F24F)
B03C0003340000	Constructional details or accessories or operation thereof
B03C0003360000	Controlling flow of gases or vapour
B03C0003380000	Particle charging or ionising stations, e.g. using electric discharge, radioactive radiation, flames (electrode constructions B03C0003400000;ionising gases H05H)
B03C0003400000	Electrode constructions
B03C0003410000	Ionising-electrodes
B03C0003430000	radioactive
B03C0003450000	Collecting-electrodes
B03C0003470000	flat, e.g. plates, discs, gratings
B03C0003490000	tubular
B03C0003510000	Catch-space electrodes, e.g. slotted-box form
B03C0003530000	Liquid, or liquid-film, electrodes
B03C0003600000	Use of special materials other than liquids
B03C0003620000	ceramics
B03C0003640000	synthetic resins
B03C0003660000	Applications of electricity supply techniques
B03C0003680000	Control systems therefor
B03C0003700000	insulating in electric separators (B03C0003530000 takes precedence)
B03C0003720000	Emergency control systems
B03C0003740000	Cleaning the electrodes
B03C0003760000	by using a mechanical vibrator, e.g. rapping gear
B03C0003780000	by washing
B03C0003800000	by gas or solid particle blasting
B03C0003820000	Housings
B03C0003840000	Protective coatings
B03C0003860000	Electrode-carrying means (B03C0003400000 takes precedence)
B03C0003880000	Cleaning-out collected particles
B03C0005000000	Separating dispersed particles from liquids by electrostatic effect (combined with centrifuges B04B0005100000)
B03C0005020000	Separators
B03C0007000000	Separating solids from solids by electrostatic effect
B03C0007020000	Separators
B03C0007040000	with material carriers in the form of trays, troughs, or tables
B03C0007060000	with cylindrical material carriers
B03C0007080000	with material carriers in the form of belts
B03C0007100000	with material falling in cascades
B03C0007120000	with material falling free
B03C0009000000	Electrostatic separation not provided for in any single one of the other main groups of this subclass
B03C0011000000	Separation by high-voltage electrical fields, not provided for in other groups of this subclass
B03D	FLOTATION; DIFFERENTIAL SEDIMENTATION (in combination with other separation of solids B03B;sink-float separation B03B0005280000)
B03D0001000000	Flotation
B03D0001001000	Flotation agents
B03D0001002000	Inorganic compounds
B03D0001004000	Organic compounds
B03D0001006000	Hydrocarbons
B03D0001008000	containing oxygen
B03D0001010000	containing nitrogen
B03D0001012000	containing sulfur
B03D0001014000	containing phosphorus
B03D0001016000	Macromolecular compounds
B03D0001018000	Mixtures of inorganic and organic compounds
B03D0001020000	Froth-flotation processes
B03D0001040000	by varying ambient atmospheric pressure
B03D0001060000	differential
B03D0001080000	Subsequent treatment of concentrated product
B03D0001100000	Removing adhering liquid from separated materials
B03D0001120000	Agent recovery
B03D0001140000	Flotation machines (devices for feeding measured quantities of reagents B01J0004020000)
B03D0001160000	with impellers; Subaeration machines
B03D0001180000	without air supply
B03D0001200000	with internal air pumps
B03D0001220000	with external blowers
B03D0001240000	pneumatic
B03D0001260000	Air lift machines
B03D0003000000	Differential sedimentation
B03D0003020000	Coagulation
B03D0003040000	assisted by vibrations
B03D0003060000	Flocculation
B03D0101000000	Indexing scheme associated with group B03D0001001000, relating to the effects produced and the materials treated.
B03D0101000000	Specified effects produced by the flotation agents
B03D0101020000	Collectors
B03D0101040000	Frothers
B03D0101060000	Depressants
B03D0103000000	Specified materials treated by the flotation agents
B03D0103020000	Ores
B03D0103040000	Non-sulfide ores
B03D0103060000	Phosphate ores
B03D0103080000	Coal ores
B03D0103100000	Potassium ores
B04	CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES
B04B	CENTRIFUGES (high-speed drum mills B02C0019110000)
B04B0001000000	Types of centrifuges; Centrifuges characterised by discharging means
B04B0001000000	Centrifuges with rotary bowls provided with solid jackets for separating predominantly liquid mixtures with or without solid particles
B04B0001020000	without inserted separating walls
B04B0001040000	with inserted separating walls
B04B0001060000	of cylindrical shape
B04B0001080000	of conical shape
B04B0001100000	with discharging outlets in the plane of the maximum diameter of the bowl
B04B0001120000	with continuous discharge
B04B0001140000	with periodical discharge
B04B0001160000	with discharging outlets controlled by the rotational speed of the bowl
B04B0001180000	controlled by the centrifugal force of an auxiliary liquid
B04B0001200000	discharging solid particles from the bowl by a conveying screw coaxial with the bowl axis and rotating relatively to the bowl
B04B0003000000	Centrifuges with rotary bowls in which solid particles or bodies become separated by centrifugal force and simultaneously sifting or filtering
B04B0003020000	discharging solid particles from the bowl by means co-axial with the bowl axis and moving to and fro, i.e. push-type centrifuges
B04B0003040000	discharging solid particles from the bowl by a conveying screw co-axial with the bowl axis and rotating relatively to the bowl
B04B0003060000	discharging solid particles by vibrating the bowl
B04B0003080000	discharging solid particles by bowl walls in the form of endless bands
B04B0005000000	Other centrifuges
B04B0005020000	Centrifuges consisting of a plurality of separate bowls rotating round an axis situated between the bowls
B04B0005040000	Radial chamber apparatus for separating predominantly liquid mixtures, e.g. butyrometers
B04B0005060000	Centrifugal counter-current apparatus
B04B0005080000	Centrifuges for separating predominantly gaseous mixtures
B04B0005100000	Centrifuges combined with other apparatus, e.g. electrostatic separators; Sets or systems of several centrifuges (B04B0005120000 takes precedence)
B04B0005120000	Centrifuges in which rotors other than bowls generate centrifugal effects in stationary containers
B04B0007000000	Elements; Accessories
B04B0007000000	Elements of centrifuges (drives B04B0009000000;feeding, charging, or discharging accessories or devices B04B0011000000)
B04B0007020000	Casings; Lids
B04B0007040000	Casings facilitating discharge
B04B0007060000	Safety devices
B04B0007080000	Rotary bowls
B04B0007100000	Bowls for shaping solids
B04B0007120000	Inserts, e.g. armouring plates
B04B0007140000	for separating walls of conical shape
B04B0007160000	Sieves or filters
B04B0007180000	formed or coated with sieving or filtering elements
B04B0009000000	Drives specially designed for centrifuges; Arrangement or disposition of transmission gearing; Suspending or balancing rotary bowls
B04B0009020000	Electric motor drives
B04B0009040000	Direct drive
B04B0009060000	Fluid drive
B04B0009080000	Arrangement or disposition of transmission gearing
B04B0009100000	Control of the drive; Speed regulating
B04B0009120000	Suspending rotary bowls
B04B0009140000	Balancing rotary bowls
B04B0011000000	Feeding, charging, or discharging bowls (B04B0001000000, B04B0003000000, B04B0007040000 take precedence)
B04B0011020000	Continuous feeding or discharging; Control arrangements therefor
B04B0011040000	Periodical feeding or discharging; Control arrangements therefor
B04B0011050000	Base discharge
B04B0011060000	Arrangement of distributors or collectors in centrifuges
B04B0011080000	Skimmers or scrapers for discharging
B04B0013000000	Control arrangements specially designed for centrifuges; Programme control of centrifuges (control arrangements for feed, charge, or discharge B04B0011000000)
B04B0015000000	Other accessories for centrifuges
B04B0015020000	for cooling, heating, or heat insulating
B04B0015040000	for suppressing the formation of foam
B04B0015060000	for cleaning bowls, filters, sieves, inserts, or the like
B04B0015080000	for ventilating or producing a vacuum in the centrifuge
B04B0015100000	for forming a filtering layer in the rotary bowl
B04B0015120000	for drying or washing the separated solid particles
B04C	APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES (exhaust or silencing apparatus for machines or engines having means for removing solid constituents of exhaust, using inertial or centrifugal separators F01N0003037000;cyclonic type combustion apparatus F23)
B04C0001000000	Apparatus in which the main direction of flow follows a flat spiral
B04C0003000000	Apparatus in which the axial direction of the vortex remains unchanged
B04C0003020000	with heating or cooling, e.g. quenching, means
B04C0003040000	Multiple arrangement thereof
B04C0003060000	Construction of inlets or outlets to the vortex chamber
B04C0005000000	Apparatus in which the axial direction of the vortex is reversed
B04C0005020000	Construction of inlets by which the vortex flow is generated
B04C0005040000	Tangential inlets
B04C0005060000	Axial inlets
B04C0005080000	Vortex chamber constructions
B04C0005081000	Shapes or dimensions
B04C0005085000	with wear-resisting arrangements
B04C0005087000	with flexible gas-tight walls
B04C0005100000	with perforated walls
B04C0005103000	Bodies or members, e.g. bulkheads, guides, in the vortex chamber (cores B04C0005107000)
B04C0005107000	Cores; Devices for inducing an air-core in hydrocyclones (forming part of the outlet pipe B04C0005130000)
B04C0005120000	Construction of the overflow ducting, e.g. diffusing or spiral exits
B04C0005130000	formed as a vortex finder and extending into the vortex chamber; Discharge from vortex finder otherwise than at the top of the cyclone; Devices for controlling the overflow
B04C0005140000	Construction of the underflow ducting; Apex constructions; Discharge arrangements
B04C0005150000	with swinging flaps or revolving sluices; Sluices; Check-valves
B04C0005160000	with variable-size outlets from the underflow ducting
B04C0005180000	with auxiliary fluid assisting discharge
B04C0005181000	Bulkheads or central bodies in the discharge opening
B04C0005185000	Dust collectors
B04C0005187000	forming an integral part of the vortex chamber
B04C0005200000	with heating or cooling, e.g. quenching, means
B04C0005220000	with cleaning means
B04C0005230000	using liquids
B04C0005240000	Multiple arrangement thereof
B04C0005260000	for series flow
B04C0005280000	for parallel flow
B04C0005300000	Recirculation constructions in or with cyclones which accomplish a partial recirculation of the medium, e.g. by means of conduits
B04C0007000000	Apparatus not provided for in group B04C0001000000, B04C0003000000 or B04C0005000000; Multiple arrangements not provided for in one of the groups B04C0001000000, B04C0003000000, or B04C0005000000; Combinations of apparatus covered by two or more of the groups B04C0001000000, B04C0003000000, or B04C0005000000
B04C0009000000	Combinations with other devices, e.g. fans (with filters for separating particles from gases or vapour B01D0050000000;with dry electrostatic precipitation for separating particles from gases or vapour B03C0003150000)
B04C0011000000	Accessories, e.g. safety or control devices, not otherwise provided for
B05	SPRAYING OR ATOMISING IN GENERAL; APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL
B05B	SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES (spray-mixers with nozzles B01F0005200000;processes for applying liquids or other fluent materials to surfaces by spraying B05D)
B05B0001000000	Nozzles, spray heads or other outlets, with or without auxiliary devices such as valves, heating means (B05B0003000000, B05B0005000000, B05B0007000000 take precedence;devices for applying liquids or other fluent materials to surfaces by contact B05C;nozzles for ink-jet printing mechanisms B41J0002135000;nozzles for liquid-dispensing, e.g. in vehicle service stations, B67D0007420000)
B05B0001020000	designed to produce a jet, spray, or other discharge of particular shape or nature, e.g. in single drops (B05B0001260000, B05B0001280000, B05B0001340000 take precedence)
B05B0001040000	in flat form, e.g. fan-like, sheet-like
B05B0001060000	in annular, tubular or hollow conical form
B05B0001080000	of pulsating nature, e.g. delivering liquid in successive separate quantities
B05B0001100000	in the form of a fine jet, e.g. for use in wind-screen washers
B05B0001120000	capable of producing different kinds of discharge, e.g. either jet or spray (B05B0001160000 takes precedence)
B05B0001140000	with multiple outlet openings (B05B0001020000, B05B0001260000 take precedence); with strainers in or outside the outlet opening
B05B0001160000	having selectively-effective outlets
B05B0001180000	Roses; Shower heads
B05B0001200000	Perforated pipes or troughs, e.g. spray booms; Outlet elements therefor
B05B0001220000	Spouts (anti-splash devices for water-taps E03C0001080000)
B05B0001240000	incorporating means for heating the liquid or other fluent material, e.g. electrically
B05B0001260000	with means for mechanically breaking-up or deflecting the jet after discharge, e.g. with fixed deflectors; Breaking-up the discharged liquid or other fluent material by impinging jets
B05B0001280000	with integral means for shielding the discharged liquid or other fluent material, e.g. to limit area of spray; with integral means for catching drips or collecting surplus liquid or other fluent material
B05B0001300000	designed to control volume of flow, e.g. with adjustable passages (B05B0001020000 takes precedence)
B05B0001320000	in which a valve member forms part of the outlet opening
B05B0001340000	designed to influence the nature of flow of the liquid or other fluent material, e.g. to produce swirl (B05B0001300000 takes precedence)
B05B0001360000	Outlets for discharging by overflow
B05B0003000000	Spraying or sprinkling apparatus with moving outlet elements or moving deflecting elements (B05B0005000000 takes precedence)
B05B0003020000	with rotating elements
B05B0003040000	driven by the liquid or other fluent material discharged, e.g. the liquid actuating a motor before passing to the outlet
B05B0003060000	by jet reaction
B05B0003080000	in association with stationary outlet or deflecting elements
B05B0003100000	discharging over substantially the whole periphery of the rotating member
B05B0003120000	with spray booms or the like rotating around an axis by means independent of the liquid or other fluent material discharged
B05B0003140000	with oscillating elements; with intermittent operation
B05B0003160000	driven or controlled by the liquid or other fluent material discharged, e.g. the liquid actuating a motor before passing to the outlet
B05B0003180000	with elements moving in a straight line, e.g. along a track; Mobile sprinklers
B05B0005000000	Electrostatic spraying apparatus; Spraying apparatus with means for charging the spray electrically; Apparatus for spraying liquids or other fluent materials by other electric means
B05B0005025000	Discharge apparatus, e.g. electrostatic spray guns
B05B0005030000	characterised by the use of gas
B05B0005035000	characterised by gasless spraying
B05B0005040000	characterised by having rotary outlet or deflecting elements
B05B0005043000	using induction-charging
B05B0005047000	using tribo-charging
B05B0005053000	Arrangements for supplying power, e.g. charging power
B05B0005057000	Arrangements for discharging liquids or other fluent material without using a gun or nozzle
B05B0005060000	using electric arc
B05B0005080000	Plant for applying liquids or other fluent materials to objects
B05B0005100000	Arrangements for supplying power, e.g. charging power (B05B0005053000 takes precedence)
B05B0005120000	specially adapted for coating the interior of hollow bodies
B05B0005140000	specially adapted for coating continuously moving elongated bodies, e.g. wires, strips, pipes
B05B0005160000	Arrangements for supplying liquids or other fluent material
B05B0007000000	Spraying apparatus for discharge of liquids or other fluent materials from two or more sources, e.g. of liquid and air, of powder and gas (B05B0003000000, B05B0005000000 take precedence)
B05B0007020000	Spray pistols; Apparatus for discharge (B05B0007140000, B05B0007160000, B05B0007240000 take precedence)
B05B0007040000	with arrangements for mixing liquids or other fluent materials before discharge
B05B0007060000	with one outlet orifice surrounding another approximately in the same plane (B05B0007100000 takes precedence)
B05B0007080000	with separate outlet orifices, e.g. to form parallel jets, to form intersecting jets
B05B0007100000	producing a swirling discharge
B05B0007120000	designed to control volume of flow, e.g. with adjustable passages
B05B0007140000	designed for spraying particulate materials (B05B0007160000 takes precedence)
B05B0007160000	incorporating means for heating the material to be sprayed
B05B0007180000	the material having originally the shape of a wire, rod, or the like
B05B0007200000	by flame or combustion
B05B0007220000	electrically, e.g. by arc
B05B0007240000	with means, e.g. a container, for supplying liquid or other fluent material to a discharge device (B05B0007140000, B05B0007160000, B05B0011000000 take precedence)
B05B0007260000	Apparatus in which liquids or other fluent materials from different sources are brought together before entering the discharge device
B05B0007280000	in which one liquid or other fluent material is fed or drawn through an orifice into a stream of a carrying fluid
B05B0007300000	the first liquid or other fluent material being fed by gravity, or sucked into the carrying fluid
B05B0007320000	the fed liquid or other fluent material being under pressure
B05B0009000000	Spraying apparatus for discharge of liquid or other fluent material without essentially mixing with gas or vapour (B05B0011000000 takes precedence)
B05B0009010000	Spray pistols (B05B0009030000 takes precedence)
B05B0009030000	characterised by means for supplying liquid or other fluent material
B05B0009040000	with pressurised or compressible container (aerosol containers B65D0083140000); with pump
B05B0009043000	having pump readily separable from container
B05B0009047000	supply being effected by follower in container, e.g. membrane or floating piston
B05B0009060000	the delivery being related to the movement of a vehicle, e.g. the pump being driven by a vehicle wheel
B05B0009080000	Apparatus to be carried on or by a person, e.g. of knapsack type
B05B0011000000	Single-unit, i.e. unitary, hand-held apparatus in which flow of liquid or other fluent material is produced by the operator at the moment of use
B05B0011020000	the flow being effected by a follower, e.g. membrane, floating piston, in container for liquid or other fluent material
B05B0011040000	the flow being effected by deformation of container for liquid or other fluent material
B05B0011060000	the spray being effected by gas or vapour flow, e.g. from a compressible bulb
B05B0012000000	Arrangements or special adaptations of delivery controlling means in spraying systems
B05B0012020000	for controlling time, or sequence, of delivery
B05B0012040000	for sequential operation or multiple outlets
B05B0012060000	for effecting pulsating flow
B05B0012080000	responsive to condition of liquid or other fluent material discharged, of ambient medium or of target
B05B0012100000	responsive to temperature or viscosity of liquid or other fluent material discharged
B05B0012120000	responsive to conditions of ambient medium or target, e.g. humidity, temperature
B05B0012140000	for supplying a selected one of a plurality of liquids or other fluent materials to a single spray outlet
B05B0013000000	Machines or plants for applying liquids or other fluent materials to surfaces of objects or other work by spraying, not covered by groups B05B0001000000-B05B0011000000 (processes for applying liquids or other fluent materials to surfaces in general B05D;means for supplying or discharging liquid or other fluent material for this purpose, see the relevant one of groups B05B0001000000-B05B0012000000)
B05B0013020000	Means for supporting work; Arrangement or mounting of spray heads; Adaptation or arrangement of means for feeding work (B05B0013060000 takes precedence)
B05B0013040000	the spray heads being moved during operation
B05B0013060000	specially designed for treating the inside of hollow bodies (spray heads B05B0001000000-B05B0007000000)
B05B0015000000	Details of spraying plant or apparatus not otherwise provided for; Accessories
B05B0015020000	Arrangements or devices for cleaning discharge openings
B05B0015040000	Control of spray area, e.g. masking, side shields; Means for collection or re-use of excess material (B05B0001280000 takes precedence)
B05B0015060000	Mountings, supporting or holding means, or rests for spray heads or other outlets when in use or out of use (B05B0015100000 takes precedence)
B05B0015080000	Means for adjusting position of spray heads
B05B0015100000	Arrangements for moving spray heads automatically to or from the working position
B05B0015120000	Spray booths
B05B0017000000	Apparatus for spraying or atomising liquids or other fluent materials, not covered by any other group of this subclass (dropping or releasing powdered, liquid or gaseous matter in flight B64D0001160000)
B05B0017040000	operating with special methods
B05B0017060000	using ultrasonic vibrations
B05B0017080000	Fountains (drinking fountains E03B0009200000;wash fountains E03C0001160000)
B05C	APPARATUS FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL (spraying apparatus, atomising apparatus, nozzles B05B;plant for applying liquids or other fluent materials to objects by electrostatic spraying B05B0005080000)
B05C0001000000	Apparatus in which liquid or other fluent material is applied to the surface of the work by contact with a member carrying the liquid or other fluent material, e.g. a porous member loaded with a liquid to be applied as a coating (B05C0005020000, B05C0007000000, B05C0019000000 take precedence)
B05C0001020000	for applying liquid or other fluent material to separate articles
B05C0001040000	for applying liquid or other fluent material to work of indefinite length
B05C0001060000	by rubbing contact, e.g. by brushes, by pads
B05C0001080000	using a roller
B05C0001100000	the liquid or other fluent material being supplied from inside the roller
B05C0001120000	the work being fed round the roller (B05C0001100000 takes precedence)
B05C0001140000	using a travelling band
B05C0001160000	only at particular parts of the work
B05C0003000000	Apparatus in which the work is brought into contact with a bulk quantity of liquid or other fluent material (B05C0019000000 takes precedence)
B05C0003020000	the work being immersed in the liquid or other fluent material
B05C0003040000	with special provision for agitating the work or the liquid or other fluent material
B05C0003050000	by applying vibrations thereto
B05C0003080000	the work and the liquid or other fluent material being agitated together in a container, e.g. tumbled (B05C0003050000 takes precedence)
B05C0003090000	for treating separate articles
B05C0003100000	the articles being moved through the liquid or other fluent material
B05C0003109000	Passing liquids or other fluent materials into or through chambers containing stationary articles
B05C0003120000	for treating work of indefinite length
B05C0003132000	supported on conveying means
B05C0003150000	not supported on conveying means
B05C0003152000	the work passing in zig-zag fashion over rollers
B05C0003172000	in endless form
B05C0003180000	only one side of the work coming into contact with the liquid or other fluent material (B05C0003020000 takes precedence)
B05C0003200000	for applying liquid or other fluent material only at particular parts of the work (B05C0003020000 takes precedence)
B05C0005000000	Apparatus in which liquid or other fluent material is projected, poured or allowed to flow on to the surface of the work (B05C0007000000, B05C0019000000 take precedence)
B05C0005020000	from an outlet device in contact, or almost in contact, with the work (B05C0005040000 takes precedence)
B05C0005040000	the liquid or other fluent material being supplied to the apparatus in a solid state and melted before application
B05C0007000000	Apparatus specially designed for applying liquid or other fluent material to the inside of hollow work (B05C0019000000 takes precedence)
B05C0007020000	the liquid or other fluent material being projected
B05C0007040000	the liquid or other fluent material flowing or being moved through the work; the work being filled with liquid or other fluent material and emptied
B05C0007060000	by devices moving in contact with the work
B05C0007080000	for applying liquids or other fluent materials to the inside of tubes
B05C0009000000	Apparatus or plant for applying liquid or other fluent material to surfaces by means not covered by groups B05C0001000000-B05C0007000000, or in which the means of applying the liquid or other fluent material is not important (B05C0019000000 takes precedence)
B05C0009020000	for applying liquid or other fluent material to surfaces by single means not covered by groups B05C0001000000-B05C0007000000, whether or not also using other means
B05C0009040000	for applying liquid or other fluent material to opposite sides of the work
B05C0009060000	for applying two different liquids or other fluent materials, or the same liquid or other fluent material twice, to the same side of the work
B05C0009080000	for applying liquid or other fluent material and performing an auxiliary operation
B05C0009100000	the auxiliary operation being performed before the application (B05C0009140000 takes precedence)
