,PCA Score,Abstract
75,-0.06351726029397708,"A method of providing an emulsion explosive underground in a mine (10) having a downwardly extending mine shaft (12) and a cage (14) arranged for travelling along the mine shaft (12) includes transferring an emulsion explosive fuel underground, transferring an emulsion explosive oxidiser underground along a downwardly extending conduit (28) located inside the mine shaft (12), and mixing the emulsion explosive fuel and the emulsion explosive oxidiser underground in the mine to provide an emulsion explosive."
56,-0.06357962667842054,"A device for transferring an industrial emulsion explosive comprises: two piston-type transfer pumps (1); and a material storage bin (2). Each piston-type transfer pump (1) comprises: a supply tank (111, 121); a supply piston (112, 122); a piston rod (113, 123); and a drive cylinder (114, 124). The supply tank has a feed inlet and a discharge outlet. The supply piston (112, 122) is provided with a pull plate (101) and a communicating hole (102) in communication with a rod cavity and a rodless cavity. The piston rod (113, 123) is driven by the drive cylinder (114, 124) extend or retract. The piston rod (113, 123) is connected to a sealing plate (103) and a discharge switch valve (3) configured to control opening and closing of the discharge outlet of a corresponding one of the two piston-type transfer pumps (1). The device has a simple and compact structure and high stability in transferring a material, can be manufactured easily at low manufacturing costs, and is very safe. Also provided is a method for transferring an industrial emulsion explosive. The method comprises: supplying, by two pressure oil sources (5, 6), oil to respectively drive the two piston-type transfer pumps (1) to suck, pre-compress and transfer a material; and upon performing a switch, supplying, by the same pressure oil source (5), oil to cause the two piston-type transfer pumps (1) to compress and transfer the material simultaneously, and then performing a switch between the discharge switch valves (3), thereby achieving a pulseless and stable switching, and increasing transfer stability."
46,-0.08591440348819512,"A pumpable emulsion composition for use in blasting, is obtainable by selecting a fatty acid, or a derivative thereof in which the carboxylic acid group remains functional for reaction or conversion, modifying said acid or acid derivative by reaction using an alcohol or primary or secondary amine to form respectively a corresponding ester or amide product of the general formula: RnZRm, wherein R represents at least one hydrocarbon chain and Z represents a linking group containing at least one heretoatom and n, m are integers, and using said product as the principal component of the oil phase in the manufacture of an emulsion explosive composition, said pumpable emulsion composition exhibiting shear-thinning properties when it is subjected to shear and a thickened ordered structure when shear is removed enabling it to be used in loading upwardly inclined boreholes or fractured ground where leakage may arise with known fluid formulations."
69,-0.0889493191631705,Provided is an emulsion explosive composition having voids/bubbles formed from one or more noble gases dispersed therein. Also provided is a method of manufacturing an emulsion explosive composition that includes mechanically and/or pneumatically infusing an emulsion explosive composition with a noble gas so as to create voids/bubbles formed from one or more noble gases. The noble gases can be contained within closed-cell micro-spheres that are dispersed throughout the emulsion explosive composition.
71,-0.11213816111673913,"A method of loading a borehole for directional blasting comprises placing two or more cartridges containing a primary explosive into the borehole, the cartridges being spaced evenly apart and abutting 10% to 50% of the borehole perimeter on a desired direction of blasting; securing wiring to a detonator in each cartridge, the wiring connectable to a controller that can activate all of the detonators simultaneously; and filling a remainder of the borehole with an emulsion or ANFO having a lower velocity of detonation (VOD) than the primary explosive. A system of interlocking cartridges for use in the method and a method of loading a borehole for main field blasting are also disclosed."
64,-0.12317808326020852,"The present invention relates to an in situ method for producing an explosive product (10). Said method includes the steps wherein: 1) an emulsion-containing matrix and a gasification reagent are separately transferred to a first mixer (7) from tanks (1-1, 1-2) containing them; 2) they are mixed in a first mixer (7); and 3) said explosive product obtained from said first mixer is transferred and deposited into an explosion hole (11). Said method is characterized in that: - in Step 1), the amounts and/or flow rates of said matrix and gasification reagent entering into said first mixer are controlled and monitored so as to produce a so-called explosive product having a density of a predetermined value when removed from the first mixer in Step 2); and - in Step 3), the density of the explosive product obtained is varied, during filling of a single hole, according to the deposited amount of explosive product and/or the depth at which the explosive product was deposited in said hole, or said density is varied from one hole to another in different holes."
61,-0.12784218610646536,"Preparation of gas bubble-sensitized explosive compositions which are liquid during their manufacture. It is possible to achieve particularly fine bubble sizes and therefore enhanced explosive power by incorporating in the liquid compositions a gas bubble-generating agent (either a gas or a substance capable of generating gas) prior to subjecting, or while the composition is subjected, to super-atmospheric pressure, this pressure being sufficient to dissolve at least part (preferably all) of any gas present. The composition is returned rapidly to atmospheric pressure and this crates a fine discontinuous gaseous phase in the composition. The invention is especially useful for preparing emulsion explosives which can be mixed and pumped under pressure, thus substantially avoiding gas bubble disengagement and coalescence."
73,-0.15236617595039292,"A method of charging explosives in a substantially vertical blast borehole, with a loading density reduced in relation to that corresponding to the complete fill up of the borehole diameter. The method includes the step of introducing a charging hose in fluid connection with a nozzle into an end opening of the vertical blast borehole. The charging hose and nozzle are then moved along the blast borehole along a travel direction at a controlled rate. As the nozzle is being moved, an explosive emulsion is forced though the nozzle at a controlled pumping rate such that the emulsion is sprayed by the nozzle laterally relative to the travel direction, in an arc formation extending around an axis of the nozzle, which axis is parallel to the travel direction, and onto an inner wall of the blast hole. The pumping rate and the controlled moving rate are adjusted so as to form a coherent string of the explosive emulsion exiting from the nozzle, whereby the string only partially fills up the blast borehole diameter."
63,-0.15761083219959682,"A field emulsion explosive mixing and charging system and charging method suitable for underground engineering. A drug outlet of a mixing machine is connected with a drug inlet end of a drug conveying pump, the drug outlet end of the drug conveying pump is communicated with a drug conveying hose through a water ring adding device, a mixing shaft is arranged in a drug mixing cavity of a mixing machine shell, a premixing chamber is formed above the feeding hole of the mixing machine shell, a drug spray device is arranged at the drug outlet end of the drug conveying hose, a spray head of the drug spray device is a cylindrical structure, and the spray head is provided with a main drug spray hole along the axial line of the spray head. The aim of ensuring the explosion effect is fulfilled mainly through technical innovations on three aspects: I, the pre-mixing chamber is formed on the top of the mixing machine shell; II, the sensitizing way of the emulsion explosive is physical sensitization; and III, the drug spray device is additionally arranged at the upper end of the drug conveying hose. Meanwhile, specific to the aim of lowering the working pressure of the drug conveying pump, a shearing device arranged on the drug conveying hose and used for increasing the viscosity of the emulsion explosive in the prior art is eliminated."
77,-0.1928539884375522,"An apparatus and process for the manufacture of an emulsion explosive wherein the composition of emulsion explosive can be continually varied in a controlled manner. The apparatus comprises: (i) at least one mixing means suitable for blending components into an emulsion; (ii) at least one delivery means for delivering an emulsion explosive from said mixing means into a blasthole or package; (iii) at least one container for emulsion; (iv) at least two containers for components which on combination are suitable for forming a gas for the gassing emulsion; (v) optionally, further containers for optional components suitable for addition to the emulsion or emulsion explosive; (vi) supply means for the supply of said components from said containers to the mixing means; and (vii) control means for controlling the amount or rate of supply of components to the mixing means and thereby enabling the composition of the emulsion explosive to be continuously varied in a controlled manner."
76,-0.20252704715470804,"We have now found that associative thickeners may be used in emulsions for use in explosive compositions, which associative thickeners provide for rapid and reversible changes in emulsion viscosity. Associative thickeners provide explosives emulsions having the desirable characteristics of (1) significant reduction in viscosity during pumping and (2) reestablishment of relatively high viscosity when pumping is terminated without damage to the emulsion components. It is believed that the associative thickener provides a network of physical linkages throughout the emulsion which network can be reversibly broken down."
67,-0.22044108261101547,"The present invention refers to a continuous process for in secco nanomaterial synthesis from the emulsification and detonation of an emulsion. The said process combines the simultaneous emulsification and detonation operations of the emulsion, thus assuring a production yield superior to 100 kg/h. When guaranteeing that the sensitization of the emulsion occurs mainly upon its feeding into the reactor, it is possible to avoid the accumulation of any class-1 substances along the entire synthesis process, thus turning it into an intrinsically safe process. Afterwards, dry collection of the nanomaterial avoids the production of liquid effluents, which are very difficult to process. Given that there's neither accumulation nor resort to explosive substances along the respective stages, the process of the present invention becomes a safe way of obtaining nanomaterial, thus allowing it to be implemented in areas wherein processes with hazardous substance aid are not allowed."
68,-0.2277418053102891,"An in-site explosive loading truck for an intrinsic safety-type emulsion explosive, wherein the key improvement thereof lies in performing emulsification and sensitization using a static emulsifying machine (12) and a static sensitizing machine (15), an outlet end of the static emulsifying machine (12) is butt-jointed to a conveying hose, the terminal end of a storage and conveying system of the sensitizing machine is connected to the head end of the conveying hose, and the static sensitizing machine (15) is arranged at the terminal end of the conveying hose; and the advantages thereof lie in: the sensitizing machine is provided at the end of the conveying hose and placed into a blast hole along with the conveying hose to perform sensitization in the blast hole so as to form a finished product of emulsion explosive, which avoids the transport of the finished product of emulsion explosive and reduces the safety risk, and on the other hand, the emulsifying machine and sensitizing machine used in the explosive loading truck are both of static structures, such that there is no shear and mechanical friction during the emulsification and sensitization, which reduces the sensitivity and prevents explosions from occurring during the production to ensure the production safety."
78,-0.2574361397713425,"The invention relates to a method of, and apparatus for, continuously forming an emulsion, which may comprise an explosive emulsion, by the steps of mixing emulsion forming materials in an enclosed volume to form an emulsion and, thereafter, continuously adding emuslion forming materials, to said enclosed volume and continuously extracting formed emulsion from said volume. In one embodiment the apparatus includes means for continuously monitoring the rate at which each emulsion forming material is supplied to the enclosed volume, to assist in maintaining the desired composition for the emulsion, and means for agitating the materials in the enclosed volume to maintain at least 70 % of the materials in said enclosed volume in an agitated condition."
