,PCA Score,Pn,Title,Abstract,Date,Applicant,Inventor,IPC
267,0.009194193495676094,WO2017119449A1,"ZIPPER TAPE, BAG, AND METHOD FOR PRODUCING BAG","A zipper tape according to the present invention includes: a pair of strip-shaped base parts (21A, 22A) that can be joined to films (11A, 11B) constituting a bag body (10); and engaging parts (23) that are provided so as to be continuous with the strip-shaped base parts (21A, 22A) and that can be engaged with and disengaged from each other, wherein one of the strip-shaped base parts (21A, 22A) has at least two or more sections having different joining strengths with respect to the film (11B), on the surface opposite to the surface with which the engaging part (23) is continuously provided, between one end in the width direction, which is perpendicular to the longitudinal direction of the strip-shaped base parts (22A, 22B), and the engaging part (23), and the joining strength with respect to the film (11B) at one section (S1), among the two or more sections, can be greater than the joining strength with respect to the film (11B) at the other section (S2).",20170713,IDEMITSU UNITECH CO LTD [JP],TODAKA TAKUMI [JP],A44B  19/    16            A I;B65D  33/    25            A I;B65D  81/    34            A I
201,0.009167419663077443,WO2010151422A1,SHAPED CHARGE LINER WITH VARYING THICKNESS,A shaped charge has a case defining a volume therein. A liner is located in the volume. An explosive is located between the case and the liner. The liner defines an interior volume and an opening thereto. The liner also has an apex portion that is distal from the opening. The liner has a first thick portion and a second thick portion. A thin portion is located between the first thick portion and the second thick portion in a direction extending from the apex portion along the liner toward the opening. The thin portion is thinner than the first thick portion and thinner than the second thick portion.,20101229,SCHLUMBERGER CA LTD [CA],YANG WENBO [US],F42B   1/   028            A I
173,0.009106087942582865,WO0147771A2,SEVERANCE OF POLYCARBONATES AND POLYCARBONATE LAMINATES WITH LINEAR SHAPED CHARGE,"The present invention involves a method for severance of materials made of polycarbonate, polycarbonate laminate and acrylic/polycarbonate laminate, such as the materials from which many of today's military aircraft canopies are manufactured. A method of severing a section of an aircraft canopy so as to allow aircrew egress is necessary for aircrew safety. Past severance methods focused on fracturing materials using the shock waves created by explosive charges placed on, near or in the canopy material. These methods are effective for fracturing canopies manufactured from acrylic type materials, however, they are not reliable in severing polycarbonate type materials. The present invention utilizes a linear shaped explosive charge placed at a predetermined distance or stand off from the polycarbonate material to be severed. The coreload of the charge is determined such that the minimum coreload necessary to effect severance of a given thickness of polycarbonate material is utilized. A retainer is placed around the charge and affixed to the material such that the charge is at the proper stand off from the material. The retainer surrounds the back side of the charges but leaves open space between the charge and the material to be severed. Upon detonation, the charge creates an explosive cutting force, or jet blast, that severs the polycarbonate material. The present invention also involves methods for intersecting explosive charges about a pattern to be severed and methods for transferring detonation between such intersecting explosive charges.;The present invention involves a method for severing materials made of polycarbonate, polycarbonate laminate and acrylic/polycarbonate laminate, such as the materials from which many of today's military aircraft canopies are manufactured. The present invention utilizes a linear shaped explosive charge (10) placed at a stand off (15) from the polycarbonate material being severed (13). The core load (11) is determined such that the core load (11) necessary to sever a given thickness of polycarbonate material is minimized. A retainer (14) surrounds the charge but leaves an open space between the charge (11) and the material to be severed (13) and is affixed to the material (13) such that the charge is at the proper stand off (15) from the material. Upon detonation, the charge creates an explosive cutting force that severs the polycarbonate material (13). The present invention also involves methods for intersecting explosive charges about a pattern to be severed and methods for transferring detonation between such intersecting explosive charges.",20010705,MCCORMICK SELPH INC [US],HILDEN LYNN G [US],B26F   3/    00            A I;B26F   3/    04            A I;B32B  27/    30            A I;B64C   1/    32            A I
111,0.008919629730607639,WO2017095737A1,WATER STORAGE IN SUBSURFACE STORM WATER BASINS,"A water storage and filtering system for capturing pollutants from pollution borne storm water. The water storage and filtering system comprises a subsurface basin, at least one tire bundle made from a plurality of substantially whole tires secured sidewall to sidewall, and a filler which substantially fills the unoccupied volume of the subsurface basin. Pollutants in the storm water are captured as sediment in the subsurface basin as a result of the filtration and storage effects of the combination of the filler and tire bundles. The subsurface basin is covered by a water-permeable structure and multiple hollow vertical support columns may be included to support the expected load on the top of the basin.",20170608,BURNS PETER [US],BURNS PETER [US],E03F   5/    10            A I;B01D  35/    02            A I;C02F   1/    00            A I;C02F   1/    52            A I;E03F   5/    14            A I;C02F 103/    00            A N
206,0.008789304247874842,WO2005038195A1,METHOD TO IMPROVE PERFORATING EFFECTIVENESS USING A CHARGE PERFORATOR,"A non-linear shaped charge perforator (10) for use in perforating an oil and gas formation into which a wellbore has been drilled comprises a monolithic, axisymmetric metal case (12) in which is disposed a main explosive charge between the front of the case, which is closed with a concave metal liner (24), and the closed back end (14) of the case. The main explosive charge contains multiple initiation points (30), preferably two initiation points located about 180° apart on the outside surface of the charge, so that when the perforator is detonated the main charge is initiated such that the metal liner is collapsed into a non-circular jet, preferably a fan-shaped jet, that pierces the casing of the wellbore and forms non-circular perforations, preferably slot-shaped perforations, in the surrounding formation.",20050428,MOLYCORP INC [US],BAKER ERNEST L,E21B  43/   117            A I;F24B   1/    00            A I;F42B   1/    02            A I
59,0.008730402787071724,WO2015115935A1,ASSEMBLY OF CORE DETECTORS,"﻿The utility model relates to nuclear energy and can be used in core monitoring systems. An assembly of core detectors contains an elongated housing with a flange and, hermetically connected to the housing, a passage in the form of a hollow cylindrical sleeve. Positioned in the housing are cable-type thermoelectric converters, direct-charge neutron detectors, and units for measuring the level of a heat-exchange-type heat carrier, which are equipped with cables. Detector fastening elements include a plate in the form of a trough, an elongated tube and a fastener. The tube through which the detector cables pass is positioned between the passage and the plate, the direct-charge neutron detectors are affixed on one surface of the plate, and the cables thereof pass through slots in the plate to the opposite surface and are secured to same using staples. Cold seams of the thermoelectric converters are located in a passive thermostat. The housing is hermetically sealed and the inner cavity thereof is filled with inert gas. The technical result consists in increasing the accuracy of measuring core parameters.",20150806,OOO NPO INKOR [RU],BOBYLEV SERGEJ PETROVICH [RU],G21C  17/    00            A I
117,0.00837644988412626,WO2017045426A1,BIMETAL SPIRAL STEEL PIPE AND MANUFACTURING METHOD THEREFOR,"A bimetal spiral steel pipe comprising a pipe body (100), the surface of the pipe body (100) extending outwards to form a rib (102) which is spirally arranged around the outer wall of the pipe body. A groove (103) and an auxiliary inner steel band (200) capable of covering the notch of the groove are provided on the rib (102) and the surface of the pipe body (100). A hollow cavity (300) is formed between the groove (103) and the auxiliary inner steel band (200), and is filled with concrete (400). Also disclosed is a manufacturing method for a bimetal spiral steel pipe. By means of the bimetal spiral steel pipe and the manufacturing method therefor, the rib on the outer wall of the pipe body and the pipe body are integrally formed, and can resist the dynamic load fatigue when bearing dynamic load; the corrosion resistance and wear resistance of the steel pipe are enhanced; further, the thickness of the steel pipe main body is reduced, and material costs are reduced.",20170323,NANJING LIANZHONG CONSTRUCTION ENG TECH CO LTD [CN],ZHAN FUJUN [CN],F16L   9/    02            A I
91,0.00821569774424204,WO2012131462A1,IMPROVED HINGE FOR FIREPROOF DOORS,"A hinge for fireproof doors comprises a frame-side portion (15) and a door- side portion (16), equipped with respective tubular sections (18, 21) which, aligned with each other, define a housing seat of a hinging group (23, 31, 36), a spring (34) for bringing the door back into a closed position being envisaged, between the frame-side portion (15) and the door-side (16) portion, said hinge contains, in its tubular sections, a bearing group (27, 28, 29, 30) between a bucket (23) and a hollow composite body (31, 36) of said hinging group (23,31,36), said spring (34) being positioned between a spring-guide body (31) and a spring - regulation body (36), having its ends constrained to the same, the spring - regulation body (36) being rotatable in a tubular section (18) of said frame-side portion (15) and being fixable, by means of a bead (38), once the desired elastic charge has been defined, and the spring-guide body (31) being integral with the tubular section (21) of the door-side portion (16).",20121004,MAGGI S R L [IT],MAGGI ROSELLA [IT],E05F   1/    12            A I
196,0.007503204002274345,WO2011049678A2,DISSOLVABLE MATERIAL APPLICATION IN PERFORATING,"A shaped charge includes a charge case; a liner; an explosive retained between the charge case and the liner; and a primer core disposed in a hole in the charge case and in contact with the explosive, wherein at least one of the case, the liner, the primer core, and the explosive comprising a material soluble in a selected fluid. A perforation system includes a perforation gun, comprising a gun housing that includes a safety valve or a firing valve, wherein the safety valve or the firing valve comprises a material soluble in a selected fluid.",20110428,SCHLUMBERGER CA LTD [CA],MARYA MANUEL [US],E21B  43/   117            A I;E21B  43/    11            A I
113,0.007399471677141591,WO2017064923A1,"SYSTEM FOR DEFENDING AGAINST INFECTION, AND ANTIMICROBIAL AGENT","[Problem] To effectively prevent infection in users of a communal facility. [Solution] A system 1 for defending against infection is provided with: a liquid tank 3 that stores an antimicrobial agent; a rod-shaped, hollow liquid straw 31, of which the discharge port is kept outside the liquid tank and the suction port is inserted into the tank 3 so as to be immersed in the antimicrobial agent; a compressor 2 that compresses air sucked from outside and injects the air from an air nozzle; a mist generating chamber 4 that forms a closed space into which the air nozzle and the discharge port of the liquid straw are inserted, wherein a suspended droplet nozzle 41 for discharging the antimicrobial agent, which is suspended in a nebulized form in the closed spaced, is attached to the mist generating chamber 4; at least two columnar nebulizers 6, which internally house a guiding pipe having an opened injection hole 62; a guiding tube 5 that connects the guiding pipe inside the columnar nebulizers to the suspended droplet nozzle of the mist generating chamber; and a foot-operated switch 7 that controls the supply of power to the compressor 2, said foot-operated switch 7 being turned on when a load is applied by a user's foot-stepping operation, and being turned off when the load is released.",20170420,MASUI YOSHIHARU [JP],MASUI YOSHIHARU [JP],A61L   2/    18            A I;A01N  25/    02            A I;A01N  65/    20            A I;A01P   3/    00            A I;A61L   2/    22            A I;A61L 101/    36            A N
74,0.007373916485021593,WO2013191671A1,METHOD FOR THERMALLY PROCESSING HIGH-ASH AND/OR LOW-CALORIE SOLID FUEL,"In the claimed method for thermally processing high-ash and/or low-calorie solid fuel, which involves drying solid fuel with waste flue gases and heating and burning the dried fuel to form a gaseous mixture and a solid residue, the solid fuel in the form of a charge, primarily of waste coal, is formed into hollow blocks which are placed into a pile on conveyors and, after drying, are fed into a heated tunnel furnace where the blocks pass through a heating zone, a combustion zone and a cooling zone, wherein, in the heating zone, the blocks are heated gradually to the flammability point of carbon (600°C and above), then kept in the combustion zone for 5-24 hours, depending on the composition of the charge, at a temperature of 750-1200°C, wherein the excess thermal energy released in the process of burning off the carbon is removed from the combustion zone and used, while the blocks, in the form of finished building blocks, are discharged from the furnace downstream of the cooling zone. The technical result is: zero-waste production in the coal industry; maximum release of excess thermal energy from the solid fuel undergoing processing and use of said thermal energy, for example, for conversion into other forms of energy; production of a solid residue in the form of building blocks; and improved environmental conditions.",20131227,PRIVATE JOINT STOCK COMPANY DONETSKSTEEL IRON AND STEEL WORKS [UA],CHUMACHENKO IGOR [UA],C10B  49/    00            A I;C10B  53/    06            A I;C10B  53/    08            A I
9,0.007334335416442578,WO2016171153A1,DYE-SENSITIZED SOLAR CELL AND ELECTROLYSIS SOLUTION FOR DYE-SENSITIZED SOLAR CELL,"Provided is a dye-sensitized solar cell that is non-iodine based, that has superior diffusivity of a charge-transporting material, and that has long-term stable cell performance. The dye-sensitized solar cell is provided with a semiconductor electrode including a semiconductor and a dye, a counter electrode facing the semiconductor electrode, and an electrolyte layer provided between the semiconductor electrode and the counter electrode, wherein the electrolyte layer contains a nitroxyl radical compound and a sulfone compound represented by formula (1). [In formula (1), R1 and R2 independently represent a straight-chain or branched-chain alkyl group with a carbon number of 1-12, an alkoxy group, an aromatic ring, or a halogen, or alternatively, R1 and R2 are bonded to each other to form a ring-shaped sulfone compound.]",20161027,SUMITOMO SEIKA CHEMICALS CO LTD [JP],HASHIMOTO SHUN [JP],H01G   9/    20            A I
50,0.007077705800683128,WO2016209112A2,POWDER-TYPE PYROTECHNIC AUTOMATIC FIRE EXTINGUISHER,"﻿The invention relates to the field of firefighting technology, and specifically to single-use pyrotechnic devices and to total flooding fire extinguishing means. The technical results achieved by carrying out the claimed technical solution include a simpler design of a fire-extinguisher, and an increase in the reliability and utilizational efficacy of same. A fire extinguisher has a housing (1) with a suppressing agent (2) and an initialization device in the form of a pyrotechnic charge (3). The fire extinguisher housing (1) is made hollow and in the form of one of the Platonic solids, and has the suppressing agent (2) and the pyrotechnic charge (3) disposed therein. The pyrotechnic charge (3) is provided with at least one detonation cord (4), an end of which extends to the outer surface of the housing (1) and is affixed thereto. The housing (1) is made of a workpiece sheet having a certain shape based on an unfolded-form (5) of one of the Platonic solids. The housing (1) is secured in an assembled position using locks in the form of protrusions/valves (6), the locks interacting with slots (7) which mate with same and which are provided in the unfolded-form (5) of the housing (1). The inner surface of the housing (1) is provided with notches (8) in the inner layer of the housing (1) material.",20161229,SHPAKOVSKY VICTOR GRIGORIEVICH [RU],SHPAKOVSKY VICTOR GRIGORIEVICH [RU],
78,0.00698003689167138,WO2013165201A1,"METHOD FOR MANUFACTURING CARBON-SULFUR COMPOSITE, CARBON SULFUR COMPOSITE MANUFACTURED THEREBY, AND ELECTROCHEMICAL DEVICE INCLUDING SAME","The present invention relates to a method for manufacturing a carbon-sulfur composite, a carbon-sulfur composite manufactured by the method, and an electrochemical device including the same. Since the carbon-sulfur composite manufactured by the carbon-sulfur composite manufacturing method of the present invention is evenly distributed by filling up sulfur inside a hollow carbon ball, the sulfur content increases, and thus the capacity increases. The composite also has stable life cycles since the electrode structure is not destroyed even if the sulfur becomes a liquid state during a charge/discharge process.",20131107,IUCF HYU [KR],SUN YANG-KOOK [KR],H01M   4/    04            A I;H01M   4/    38            A I;H01M   4/   583            A I;H01M  10/    36            A I
221,0.006542523195590148,WO0163199A1,WARHEAD CONFIGURATION,"A warhead (10) configuration for forming a large-diameter hole through a wall of a target includes a shaped charge of explosive material (12) presenting an annular front surface portion (16) circumscribing an axis of the charge. The annular front surface portion (16) exhibits a concave profile as viewed in cross-section through the axis, at least part of the concave profile being configured such that a vector projecting outward from the part normal to the annular front surface portion diverges from the axis. A liner (14) is provided adjacent to at least part of the annular front surface portion.",20010830,RAFAEL ARMAMENT DEV AUTHORITY [IL],RITMAN ZEEV [IL],F42B   1/   028            A I;F42B   3/    00            A I
273,0.006511887338842719,WO2017120593A1,MECHANICAL VALVE FOR WATERLESS URINAL,"The present invention is directed to an improved valve trap non-flushing urinal system. The non-flushing urinal system is provided with a large sealing and flow area using a bell-shaped waterless urinal valve having an inner wall with rib structures disposed thereabout, wherein the rib structures extends into a sealing area of the valve to provide structural support. The non-flushing urinal system utilizes low ""crack pressure,"" or ease of initial opening to create for high flow rate and superior sealing.",20170713,FALCON WATERFREE TECH LLC [US],WÄCHTER MICHAEL [CH],E03D  13/    00            A I
217,0.006135321868242115,WO2004109219A1,DEVICE ADJACENT TO AN EXPLOSIVE CHARGE WITH AT LEAST TWO LINERS,"An explosive charge (3) can be equipped with two liners (4, 5) that can be attached to one another. The primary liner (4) is so devised that when choosing a first choice (11) of being able to work independently and by employing a symmetrical form achieving a forward-aimed Shaped Charge Warhead (SCW) effect upon explosive charge initiation by means of the material (7, 8) indicated for the primary liner. A secondary liner (5) is devised with a second choice (12) to be able to work together with the primary liner and together cause an asymmetric form that distributes the material (18, 19) from the liners at different velocities to thereby cause a forward-directed fragmentation effect. The ammunition unit (1) can, thus, be designed or prepared for two different combat cases in a technologically simple and unambiguous manner.",20041216,BOFORS DEFENCE AB [SE],ROENN TORSTEN [SE],F42B   1/   028            A I
115,0.006036372871368402,WO2017054409A1,"ELASTIC ROLLER, PIN GEAR CYCLOIDAL SPEED REDUCER AND BEARING","Disclosed are an elastic roller, a pin gear cycloidal speed reducer (100) provided with the elastic roller (51), and a bearing (3). The elastic roller (51) comprises a hollow roller (52) and a solid roller (53) provided on the inner side of the hollow roller (52). A floating gap allowing the hollow roller (52) to deform elastically is provided between an inner wall face of the hollow roller (52) and an outer wall face of the solid roller (53). The elastic roller (51) can provide a certain elastic deformation space for the hollow roller (52) by means of the floating gap so as to be able to realize a sufficient elastic compensation capacity when using an interference fit; at the same time, a certain support force can be supplied by the solid roller (53) on an inner side, preventing the hollow roller (52) from being flattened and destroyed due to excessive load, so that the elastic roller (51) has resistance to powerful overload impact, is relatively strong, and cannot be destroyed, so as to realize the purpose of reliable elastic compensation and further to increase the service life of the elastic roller, the pin gear cycloidal speed reducer and the bearing.",20170406,QUANTA MACHINERY CO LTD [CN],SUN ZIJIAN [CN],F16C  33/    36            A I;F16H  53/    00            A I
66,0.0060172148383621634,WO2014202048A1,"SPACER ELEMENT, SHAPED CHARGE BODY, EXPLOSIVE CHARGE AND ASSOCIATED KIT","The invention relates to a hollow charge body comprising a receptacle for an expansion element (111), especially a metal insert, a cylinder (203) and a closure element (205), the cylinder and the closure element defining a chamber. Said chamber has an opening (257) so that any excess explosive present in the chamber is discharged when the cylinder and the closure element are adjusted relative to each other. The hollow charge body is configured in such a way that the chamber may produce at least two or more defined volume values.",20141224,ATLAS ELEKTRONIK GMBH [DE],HESSE SVEN-CHRISTIAN [DE],F42B   1/   024            A I;F42B   3/    02            A I
192,0.006013756027310044,WO2012091981A2,BORON SHAPED CHARGE,"A shaped charge includes a casing; a liner located within an opening of the casing; and an explosive located in the region between the casing and the liner, wherein at least one of the liner and the explosive comprises an intermetallic mixture comprising boron and a reactant metal. The reactant metal is one selected from the group consisting of Ti, Mg, Zr, Mo, and a combination thereof. A method for perforating in a well includes positioning a perforating gun in the well, wherein the perforating gun includes a shaped charge that includes: a casing; a liner located within an opening of the casing; and an explosive located in the region between the casing and the liner, wherein at least one of the liner and the explosive includes an intermetallic mixture that contains boron and a reactant metal; and detonating the shaped charge in the well.",20120705,SCHLUMBERGER TECHNOLOGY CORP [US],ANDRZEJAK TIMOTHY A [US],E21B  43/   117            A I;E21B  17/    01            A I;F42B   1/   032            A I
270,0.005772104848808747,WO2017119450A1,COMPOSITION FOR FORMING SUBSTRATE FOR FLEXIBLE DEVICES,"[Problem] The purpose of the present invention is to provide a composition for forming a substrate for flexible devices, which forms a resin thin film characterized by having excellent heat resistance and low retardation, especially a resin thin film that is suitable as a substrate for flexible devices, and which forms a resin thin film that absorbs light beams having a specific wavelength, thereby enabling the application of a laser lift-off method. [Solution] A composition for forming a substrate for flexible devices, which contains a polyimide, titanium dioxide particles having particle diameters of from 3 nm to 200 nm, silicon dioxide particles having an average particle diameter of 100 nm or less as calculated from the specific surface area that is determined by a nitrogen adsorption method, and an organic solvent; and a resin thin film which is formed from this composition for forming a substrate for flexible devices.",20170713,NISSAN CHEMICAL IND LTD [JP],KOYAMA YOSHINARI [JP],C08L  79/    08            A I;C08G  73/    10            A I;C08K   3/    22            A I;C08K   3/    36            A I;H05K   1/    03            A I
124,0.005745658224678897,WO2016172522A1,CENTERFILL OF LUBRICANT RESERVOIR,"A centerfill assembly for a lubricant reservoir includes a hollow tube for receiving lubricant from the top of the reservoir and loading the lubricant into the reservoir near the bottom of the reservoir. Loading the lubricant near the bottom of the reservoir introduces lubricant near where the stirring paddles mix the lubricant and near where the lubricant is loaded to the lubricant pump. Adding the lubricant near where the pumps load and near the stirring paddles helps to eliminate air pockets in the lubricant. In addition, having the centerfill rod minimizes exterior plumbing and allows for the mounting of valves on the fill line",20161027,GRACO MINNESOTA INC [US],HOLMAN JOHN C [US],F16N  11/    08            A I;F16N  13/    20            A I
104,0.005650800029124182,WO2010039290A1,FAMILY OF MODIFIABLE HIGH PERFORMANCE ELECTRICALLY CONTROLLED PROPELLANTS AND EXPLOSIVES,"A composition capable of producing either solid propellant grains, liquid or gel monopropellants, all of which are electrically ignitable and capable of sustained controllable combustion at ambient pressure. Additional compositions capable of sustained controllable combustion at elevated pressures are described. Applications for the compositions disclosed herein are provided, and include among other applications use in small micro thrusters, large core-burning solid propellant gains, shaped explosives charges for military application, and pumpable liquids and gel monopropellants or explosives for military, commercial mining or gas and oil recovery. In alternative embodiments the above compositions may also incorporate an energetic nitrate polymer, bum rate modifiers, and/or metal fuel(s). The HIPEP formulation makes it possible to ignite and sustain combustion at ambient and vacuum conditions (a) without continuous electrical power and (b) while providing faster bum rates.",20100408,DIGITAL SOLID STATE PROPULSION [US],SAWKA WAYNE N [US],C06B  47/    00            A I;C06D   5/    00            A I
265,0.005432134394874746,WO2017118202A1,SOFTWARE-AND-HARDWARE-COORDINATED DIGITAL PRE-DISTORTION METHOD AND DEVICE,"Disclosed are a software-and-hardware-coordinated digital pre-distortion method and device, relating to the technical field of digital pre-distortion. The method includes the following steps: detecting the working state of a radio communication device according to system configuration information and acquired sample data; performing on-line optimization on a digital pre-distortion model according to the detected working state of the radio communication device so as to obtain an optimal digital pre-distortion model; performing model parameter quantification processing on the obtained optimal digital pre-distortion model, and updating the radio communication device with quantified model parameters. The embodiment of the present invention can increase the efficiency of a radio device and reduce radio interference in real time with an optimal DPD algorithm model for various radio application scenarios; and thus an efficient, green and energy-saving radio remote device is achieved.",20170713,ZTE CORP [CN],SHI XIAOFEI [CN],H04L  25/    49            A I
243,0.005237086807162786,WO2017120570A1,SYSTEMS AND METHODS FOR CALENDAR SYNCHRONIZATION WITH ENTERPRISE WEB APPLICATIONS,"The described technology relates to integrating events electronically scheduled in enterprise web applications and other event management applications. An improved capability is provided for an event management application like, for example, Microsoft's Outlook™ to provide the user with additional useful information and/or resources associated with scheduled events such as, but not limited to, meetings. Improved capabilities are provided to the enterprise web application clients based upon integration with event applications such as Outlook. Embodiments use a unique identifier generated for an event scheduled in one application for associating corresponding event information in the second application, such that the scheduled event calendars in the first and second applications can be synchronized without duplicating the event information between the two applications.",20170713,NASDAQ INC [US],OLIGINO DEAN [US],G06Q  10/    10            A I;G06F  17/    30            A I;G06Q  10/    06            A I
266,0.005163282388634218,WO2017118201A1,"ARRAY SUBSTRATE, FABRICATION METHOD FOR FORMING THE SAME, AND DISPLAY DEVICE CONTAINING THE SAME","The present application discloses a fabrication method for forming an array substrate, including: forming, in a fanout region, a first signal-load line connected to a first group of data lead wires, and a second signal-load line connected to a second group of data lead wires; and forming, in the fanout region, at least one unidirectional device at a connection point of the first signal-load line and a data lead wire, at least one unidirectional device at a connection point of the second signal-load line and a data lead wire. The first signal-load line and the second signal-load line are each configured to transmit an external testing signal along a single direction to the data lead wires through the unidirectional devices.",20170713,BOE TECHNOLOGY GROUP CO LTD [CN],ZHANG SHIJU [CN],H01L  27/    12            A I
89,0.005012550643271062,WO2012083395A1,"CERAMIC-MATERIAL COMPOSITION, SINTERED CERAMIC MATERIAL, CONVEX-CONCAVE CERAMIC PLATES, PROCESSES FOR PRODUCING SAME, USE THEREOF FOR PREPARING IMPACT-RESISTANT COMPONENTS, IMPACT-RESISTANT ARTICLES AND USE THEREOF IN ARMOUR FOR BALLISTIC PROTECTION","The present invention provides: a ceramic-material composition containing alumina and niobium oxide and the process for preparing same; a sintered ceramic material which contains said composition and the process for preparing same; convex-concave ceramic-material plates and the process for preparing same; the use of said composition, ceramic material and/or convex-concave ceramic-material plates for preparing impact-resistant articles; ballistic-impact-resistant articles and the processes for producing same. The products of the invention provide substantial improvement in impact-protection performance, reduce the quantity of material required in order to obtain the same level of impact protection, and provide advantages concerning industrial production thereof. Said products can be used for personal, car and building protection against projectiles with kinetic energy and hollow-charge jets. Said convex-concave ceramic plates can be prepared with different thicknesses and curvatures, of both the front and rear surfaces, according to the ballistic-protection requirements.",20120628,INST MILITAR DE ENGENHARIA IME [BR],VIEIRA GOMES ALAELSON [BR],C04B  35/    10            A I;C04B  35/   495            A I;C04B  35/    64            A I;F41H   5/    00            A I
75,0.0049412734145898255,WO2014106567A1,AIRBAG UNIT,"The invention relates to an airbag unit, comprising an airbag, an inflator unit, and a device for influencing the geometric shape and/or the ventilation state of the airbag. The influencing device comprises a hollow body (62), which has a predetermined breaking line (63) and extends from a first end to a second end. A pyrotechnic charge (74) is operatively connected to the interior of the hollow body. Upon the ignition of the pyrotechnic charge, the hollow body (62) breaks into a first section (62a) and a second section (62b) along the predetermined breaking line (63). At least part of the second section (62b) is accommodated in a passage opening of the assembly fixed to the vehicle and remains in said passage opening after the ignition of the pyrotechnic charge, while the first section (62a) is no longer rigidly connected to the assembly fixed to the vehicle. At the second end of the hollow body, the hollow body has an opening, through which a component (70) that bears the pyrotechnic charge is inserted into the hollow body (62) at least in some sections.",20140710,AUTOLIV DEV [SE],HOFFMANN JENS [DE],B60R  21/  2338            A I;B60R  21/   239            A I
64,0.0049282908833956345,WO2015036201A1,CONSTRUCTION KIT AND METHOD FOR PRODUCING A DESTRUCTIVE CHARGE CONTAINING A HOLLOW CHARGE,"In order to reduce significantly the effort involved in the logistics and making safe of destructive charges (100) containing hollow charges, intended particularly for bomb disposal by remotely controlled detonation, the invention proposes that the destructive charge (100) should not be kept, i.e. stored and transported, as a ready-assembled charge, but instead all components that are not relevant to safety, such as the preferably tubular casing element (2) of the destructive charge (100), a hollow charge insert (5) and the cap (6) or cover (22) intended for receiving the detonator, should be stored and transported separately as a construction kit (1, 1'). The destructive charge (100) is then only assembled on site, together with the explosive (12) that is required for the hollow charge and is available at the site and together with the electrical detonator, on condition that the person in charge of bomb disposal operations authorizes their use for blowing up the bombs.",20150319,RHEINMETALL WAFFE MUNITION [DE],BIPPES BERND MICHAEL [DE],F42B   1/   036            A I
16,0.004794629676525066,WO2016143554A1,"SOLID-STATE IMAGE CAPTURE ELEMENT, IMAGE CAPTURE APPARATUS, AND ELECTRONIC DEVICE","The present technology relates to a solid-state image capture element, an image capture apparatus, and an electronic device which enable an increase in focal point accuracy and sensitivity, and suppression of color mixing, in a high image-height portion. Incident light is condensed by a main lens, and the condensed light is condensed by a plurality of on-chip lenses. The on-chip lenses are shared by a plurality of photodiodes that receive the light condensed by the on-chip lenses and that generate and accumulate charge corresponding to the amount of light, wherein the plurality of photodiodes sharing the on-chip lenses are shaped, in accordance with the image-height of the on-chip lenses, so as to have substantially uniform light reception characteristics. The present technology may be applied to a CMOS image sensor.",20160915,SONY CORP [JP],MURASE TAKURO [JP],H01L  27/   146            A I;G02B   7/    34            A I;H01L  27/    14            A I;H04N   5/   369            A I;G01C   3/    06            A N
172,0.0047782113464153115,WO2008033222A2,ARRESTER DISCONNECTOR ASSEMBLY MINIMIZING EXPLOSIVE SEPARATION,"A disconnector assembly for an arrester includes a housing having first and second opposite ends. A cavity is disposed within the housing. A first electrical terminal is disposed at the first end of the housing, and a second electrical terminal is disposed at the second end of the housing. A cartridge with an explosive charge disposed in the cavity between the first and second electrical terminals. The cartridge has a powder load greater than 0 grams and not greater than approximately 0.15 grams. The powder load is sufficient to separate said second electrical terminal from said first electrical terminal upon cartridge detonation while minimizing the intensity of the explosive separation upon unintended cartridge detonation.",20080320,HUBBELL INC [US],LENK DENNIS W [US],H01H  39/    00            A I
197,0.004601493102824837,WO2011031817A2,ENERGETIC MATERIAL APPLICATIONS IN SHAPED CHARGES FOR PERFORATION OPERATIONS,"A shaped charge includes a cup-shaped casing defining an interior volume; a liner located within the interior volume; an explosive disposed between the liner and the casing; and a reactive material disposed between the liner and the casing. A method for generating a dynamic overbalance inside a wellbore includes disposing a perforation gun in the wellbore; and detonating a shaped charge in the perforation gun, wherein the shaped charge includes a cup-shaped casing defining an interior volume, a liner located within the interior volume, an explosive disposed between the liner and the casing, and a reactive material disposed between the liner and the casing.",20110317,SCHLUMBERGER CA LTD [CA],YANG WENBO [US],E21B  43/   116            A I;E21B  43/   117            A I;F42B   1/    02            A I
233,0.004398722320833078,WO2017117896A1,BACKLIGHT MODULE AND DISPLAY APPARATUS,"Disclosed herein includes an assembly structure, including a back cover (51) and a frame (52). The back cover (51) includes a bottom wall (511) and at least one side wall (512), wherein the bottom wall (511) and the at least one side wall (512) cooperatively form a housing, and the bottom wall (511) or the at least one side wall (512) is provided with at least one first snap member. The frame (52) includes a load plate (521) and a side plate (523), wherein the side plate (523) is provided with at least one second snap member. The at least one first snap member and the at least one second snap member are configured to form at least one snap-fit assembly.",20170713,BOE TECHNOLOGY GROUP CO LTD [CN],SUN WENBO [CN],G02F   1/  1335            A I
